Donor Agency,Project Title,Aid Modality,Type Of Assistance,Primary Sector,Implementing Agency,Date of Agreement Signed,Date of Agreement Effective,Date of Planned Completion,Type of PIU,Status,AMP ID,Cumulative Commitment,Cumulative Disbursement,2007 Q1 Actual Disbursements,2007 Q2 Actual Disbursements,2007 Q3 Actual Disbursements,2007 Q4 Actual Disbursements,2008 Q1 Actual Disbursements,2008 Q2 Actual Disbursements,2008 Q3 Actual Disbursements,2008 Q4 Actual Disbursements,2009 Q1 Actual Disbursements,2009 Q2 Actual Disbursements,2009 Q3 Actual Disbursements,2009 Q4 Actual Disbursements,2010 Q1 Actual Disbursements,2010 Q2 Actual Disbursements,2010 Q3 Actual Disbursements,2010 Q4 Actual Disbursements,2011 Q1 Actual Disbursements,2011 Q2 Actual Disbursements,2011 Q3 Actual Disbursements,2011 Q4 Actual Disbursements,Total Actual Disbursements
Ireland,Repairing Chiringa Health Centre (Kachebere Major Seminary),Direct Project Support,Grant,HEALTH, ,01/12/2010,01/12/2010,31/12/2011, ,Ongoing,8722612610842,5660.545,5660.545, , , , , , , , , , , , , ,5660.545, , , , , , ,5660.545
Ireland,Rumphi District Hospital Assistance,Direct Project Support,Grant,HEALTH, ,01/12/2010,01/12/2010,31/12/2011, ,Ongoing,8722612610841,7749.556,7749.556, , , , , , , , , , , , , ,7749.556, , , , , , ,7749.556
Ireland,Pro-Poor Dairy Development Programme (SHMPA),Direct Project Support,Grant,AGRICULTURE, ,01/11/2010,01/11/2010,, ,Ongoing,8722612610840,14527.539,11706.917, , , , , , , , , , , , , ,11706.917, , , , , , ,11706.917
Ireland,Promotion of Urban Cook Stoves (Hestian Rural Innovation Development),Direct Project Support,Grant,"ENVIRONMENT, LANDS AND NATURAL RESOURCES", ,01/12/2010,01/12/2010,31/12/2011, ,Ongoing,8722612610839,19988.966,19988.966, , , , , , , , , , , , , ,19988.966, , , , , , ,19988.966
Ireland,Review of the Episcopal Conference of Malawi Strategic Plan (Episcopal Conference of Malawi),Direct Project Support,Grant,DEMOCRATIC GOVERNANCE, ,01/12/2010,01/12/2010,31/12/2011, ,Ongoing,8722612610837,26426.449,26426.449, , , , , , , , , , , , , ,26426.449, , , , , , ,26426.449
Ireland,Economic Empowerment of Widows and Vulnerable Women (M'Mbelwa District Council),Direct Project Support,Grant,"GENDER, YOUTH DEVELOPMENT AND SPORTS", ,01/12/2010,01/12/2010,31/12/2011, ,Ongoing,8722612610836,27992.216,27992.216, , , , , , , , , , , , , ,27992.216, , , , , , ,27992.216
Ireland,"Mainstreaming Disaster Risk Reduction, Mitigation and Preparedness (UNDP)",Direct Project Support,Grant,"VULNERABILITY, DISASTER AND RISK MANAGEMENT", ,03/11/2008,03/11/2008,31/03/2011, ,Ongoing,8722612610835,45836.516,47567.608, , , , , , , , , , , , , ,47567.608, , , , , , ,47567.608
Ireland,Strengthening Household Resilience through Community Based Disaster Risk Reduction (Evangelical Association of Malawi),Direct Project Support,Grant,"VULNERABILITY, DISASTER AND RISK MANAGEMENT", ,01/12/2010,01/12/2010,,NGO,Ongoing,8722612610834,186804.605,379899.888, , , , , , , , , , , , , ,186804.605, , ,193095.282, , , ,379899.888
Ireland,Strategic Framework to facilitate and support commemoration of the African Food and Nutrition Day (NEPAD),Direct Project Support,Grant,AGRICULTURE, ,01/01/2011,01/01/2011,, ,Ongoing,8722612610833,86784.893,88759.489, , , , , , , , , , , , , , ,88759.489, , , , , ,88759.489
Ireland,Support to Post CAADP/ASWAp Activities in Malawi,Direct Project Support,Grant,AGRICULTURE, ,01/11/2010,01/11/2010,01/10/2011,NGO,Ongoing,8722612610811,198198.369,478413.868, , , , , , , , , , , , , ,198198.369, ,280215.499, , , , ,478413.868
Ireland,Smallholder Farmer Research Project,Direct Project Support,Grant,"VULNERABILITY, DISASTER AND RISK MANAGEMENT", ,01/12/2010,01/12/2010,31/12/2012,NGO,Ongoing,8722612610809,132132.246,132132.246, , , , , , , , , , , , , ,132132.246, , , , , , ,132132.246
Ireland,Food securiity CIP,Farm Input Subisdy Program - Discrete,Grant,AGRICULTURE,Ministry of Agriculture and Food Security,01/08/2008,01/08/2008,31/12/2009,None,Ongoing,8722611610372,674662.668,2557389.521, , , , ,460299.194,159154.57, , ,633892.097,618782.355, , , ,685261.303, , , , , , ,2557389.521
Ireland,Seed inputs,Farm Input Subisdy Program - Discrete,Grant,AGRICULTURE,Ministry of Agriculture and Food Security,01/11/2008,01/11/2008,31/12/2009,None,Ongoing,8722611610371,509294.626,2010691.149, , , , , ,509294.626, , , ,1038933.66, , , ,462462.861, , , , , , ,2010691.149
Ireland,Disaster Risk reduction - Ireland,Direct Project Support,Grant,"VULNERABILITY, DISASTER AND RISK MANAGEMENT", ,01/11/2008,01/11/2008,31/12/2009,NGO,Ongoing,8722611610370,636618.283,1162561.276, , , , , ,639741.01, , , ,191449.769, , , ,331370.496, , , , , , ,1162561.276
Ireland,Social Protection HIV aware,Direct Project Support,Grant," - HEALTH
 - VULNERABILITY, DISASTER AND RISK MANAGEMENT", ,01/08/2008,01/08/2008,31/12/2009,NGO,Ongoing,8722611610369,59970.014,59970.014, , , , ,59970.014, , , , , , , , , , , , , , , ,59970.014
Ireland,Nutrition,Direct Project Support,Grant,"VULNERABILITY, DISASTER AND RISK MANAGEMENT",Office of the President and Cabinet,01/10/2008,01/10/2008,31/12/2009,None,Ongoing,8722611610367,531208.499,2728819.271, , , , , ,531208.499, , , ,1580875.599, , , ,616735.173, , , , , , ,2728819.271
Ireland,Agroforestry,Farm Input Subisdy Program - Discrete,Grant,AGRICULTURE,International Center for Research in Agroforestry (ICRAF),01/09/2008,01/09/2008,31/12/2009,NGO,Ongoing,8722611610366,1438434.982,4053004.869, , , , , ,1307203.069, , ,845189.463,931901.137, , ,968711.199, , , , , , , ,4053004.869
Ireland,Food security - CU,Farm Input Subisdy Program - Discrete,Grant,AGRICULTURE,Concern Universal,01/05/2008,01/05/2008,31/12/2009,NGO,Ongoing,8722611610365,2336084.722,2706352.503, , , , , ,664010.624, , ,1408649.105,633692.773, , , , , , , , , , ,2706352.503
Ireland,Support for Malawi Civil Society Networks,Direct Project Support,Grant,DEMOCRATIC GOVERNANCE,Ireland,01/11/2008,01/10/2008,31/12/2009,NGO,Ongoing,8722611610363,501655.207,1247277.523, , , , , ,515660.809, ,28022.978, ,531821.814, , , ,171771.92, , , , , , ,1247277.523
Ireland,Support for 2009 elections,Direct Project Support,Grant,DEMOCRATIC GOVERNANCE,Electoral Commission,01/09/2008,01/09/2008,31/05/2009,None,Closed,8722611610361,1438434.982,2056410.246, , , , ,719217.491,636618.283, ,700574.471, , , , , , , , , , , , ,2056410.246
Japan,The Project for Crisis Counselling Programme in Karonga Earthquake Disaster Area,Direct Project Support,Grant,"VULNERABILITY, DISASTER AND RISK MANAGEMENT", ,,01/03/2010,31/03/2011,NGO,Ongoing,8722612610626,0,43400.549, , , , , , , , , , ,43400.549, , , , , , , , , ,43400.549
Japan,The project for construction of farmers hostel at Chikwina day training centre in Nkhatabay District,Direct Project Support,Grant,AGRICULTURE, ,01/02/2010,,25/02/2011,None,Ongoing,8722612610625,0,54510.317, , , , , , , , , , ,54510.317, , , , , , , , , ,54510.317
Japan,The project for Expansion of Nsigalira Free Scondary School for Orphan,Direct Project Support,Grant,EDUCATION, ,01/02/2010,,11/02/2011,None,Ongoing,8722612610624,0,54663.877, , , , , , , , , , ,54663.877, , , , , , , , , ,54663.877
Japan,Project for Farmers' Self-reliance,Direct Project Support,Grant,AGRICULTURE, ,14/04/2009,,13/04/2009,NGO,Ongoing,8722612210535,104928.466,54900.871, , , , , , , , ,54900.871, , , , , , , , , , , ,54900.871
Japan International Cooperation Agency ,The Project on Suistanable Land Management Promotion,Direct Project Support,Technical Assistance,"ENVIRONMENT, LANDS AND NATURAL RESOURCES",Japan International Cooperation Agency,,,10/11/2015,None,Ongoing,8722623811007,3678538.427,2219432.305, , , , , , , , , , , , , , , ,455289.867, , , ,996222.37,1451512.238
Japan International Cooperation Agency ,Strengthening the Capacity of OVOP for Delivering Services to OVOP Groups in Malawi,Direct Project Support,Technical Assistance,"TRADE, INDUSTRY AND PRIVATE SECTOR DEVELOPMENT",Japan International Cooperation Agency,07/04/2011,07/04/2011,06/04/2016,None,Ongoing,8722623811018,0,2601414.153, , , , , , , , , , , , , , , ,948267.182, , , ,869533.591,1817800.773
Japan International Cooperation Agency ,Expert on 5S- KAIZEN-TQM for Hospital Management,Direct Project Support,Technical Assistance,HEALTH,Japan International Cooperation Agency,,15/07/2011,30/03/2014,None,Closed,8722617611189,1145237.427,1137798.628, , , , , , , , , , , , , , , ,266337.706, , , ,319267.561,585605.268
Japan International Cooperation Agency ,Re-construction and Expansion of Selected Community Day Secondary Schools,Direct Project Support,Grant,EDUCATION,"Ministry of Education, Science and Technology",31/08/2010,31/08/2010,,None,Closed,8722612610753,14015003.92,956444.647, , , , , , , , , , , , , , ,776773.357, ,179671.289, , , ,956444.647
Japan International Cooperation Agency ,The Project on Urban Plan and Development Management in Lilongwe City,Direct Project Support,Technical Assistance,INTEGRATED RURAL DEVELOPMENT,Japan International Cooperation Agency,30/08/2012,01/11/2012,30/05/2016,None,Ongoing,8722623811009,2311567.109,882698.179, , , , , , , , , , , , , , , , , , , ,134447.709,134447.709
Japan International Cooperation Agency ,The Project for National Water Resources Masterplan,Direct Project Support,Technical Assistance,"WATER, SANITATION AND IRRIGATION",Ministry of Irrigation and Water Development,,03/01/2012,30/09/2014,None,Ongoing,8722617611225,5550343.507,2047383.005, , , , , , , , , , , , , , , ,1914434.063, , , ,78716.769,1993150.833
Japan International Cooperation Agency ,Technical Cooperation Project / SMASSE-INSET Project (Phase II),Direct Project Support," - Grant
 - Technical Assistance",EDUCATION,"Ministry of Education, Science and Technology",15/07/2008,01/08/2008,31/08/2012,None,Closed,8722612210288,2969079.426,5400992.661, , , , ,107800.979,191246.696,227738.839,148690.01,213000.37,800641.961,927143.551,201279.437,147647.652,685367.911,983076.182,226760.149,540598.918, , , ,5400992.661
Japan International Cooperation Agency ,Project for the Improvement of Blantyre City Roads Phase II,Direct Project Support,Grant,"ROADS, PUBLIC WORKS AND TRANSPORT",Japan International Cooperation Agency,18/07/2008,18/07/2008,31/12/2012,None,Closed,8722612610690,10787458.04,10721227.19, , , , , , , , , , , , , , ,4344898.437,3301182.56, , , , ,7646080.997
Japan International Cooperation Agency ,Establishment of Food Security and Improvement of health conditions is Malawi,Direct Project Support,Grant,AGRICULTURE,Ministry of Agriculture and Food Security,23/01/2007,23/01/2007,31/12/2009,None,Closed,8722612110132,0,642984.504, , ,77851.913, ,46796.082,47950.005,47104.542,33144.859,74909.573,197885.036,117342.49, , , , , , , , , ,642984.504
Japan International Cooperation Agency ,Technical Cooperation Project / SMASSE-INSET Project,Direct Project Support,Grant,EDUCATION,"Ministry of Education, Science and Technology",01/07/2004,01/07/2004,30/09/2007,None,Closed,8722612110075,1098028.608,751030.118,63610.592, ,2039.94,41184.434, , , , , , , , , , , , , , , , ,106834.967
Japan International Cooperation Agency ,Technical Cooperation Project / Improving Physical Asset Management and Maintenance (PAM),Direct Project Support,Grant,HEALTH,Ministry of Health,01/05/2006,01/06/2006,01/06/2010,None,Closed,8722612110079,1736776.95,2766844.534,105455.82,85499.508,88702.298,62889.656,127839.559,111154.978,134248.659,138554.196,269704.691,590204.941,478315.805,86199.436,137692.549,55188.786,184075.872, , , , , ,2655726.759
Japan International Cooperation Agency ,Capacity Enhancement for Public Sector Investment Programming Phase I and II (Integration of PSIP into District Development Plans),Direct Project Support," - Grant
 - Technical Assistance","TRADE, INDUSTRY AND PRIVATE SECTOR DEVELOPMENT"," - Ministry of Economic Planning and Development
 - Ministry of Local Government and Rural Development",27/02/2009,02/03/2009,31/03/2011,None,Closed,8722612610444,5962548.67,3511414.67, , , , , , ,232412.116,3524.79,183752.856,445777.974,258070.489,77379.334,235333.237,203526.121,997594.128, ,227959.87, , ,646083.75,3511414.67
Japan International Cooperation Agency ,The Project for Establishment of Integrated Geographic Information System (GIS) Database for Mineral Resources in Malawi,Direct Project Support,Technical Assistance,ENERGY AND MINING,Ministry of Energy and Mines,01/10/2011,03/01/2012,31/07/2013,None,Closed,8722617611204,1144764.005,894536.337, , , , , , , , , , , , , , , , , , , ,860756.301,860756.301
Japan International Cooperation Agency ,Water Resource Advisor,Direct Project Support,Grant,"WATER, SANITATION AND IRRIGATION",Ministry of Irrigation and Water Development,,09/04/2009,31/03/2011,None,Closed,8722612610691,0,778280.385, , , , , , , , , , , ,129486.204,241840.441,406953.739, , , , , , ,778280.385
Japan International Cooperation Agency ,Shared Operational Costs for Advisors,Direct Project Support,Grant,ECONOMIC GOVERNANCE, ,,,,None,Closed,8722612610437,233564.388,107398.369, , , , , , ,107398.369, , , , , , , , , , , , , ,107398.369
Japan International Cooperation Agency ,Expert in Irrigation Policy Monitoring and Evaluation,Direct Project Support,Technical Assistance,"WATER, SANITATION AND IRRIGATION",Ministry of Irrigation and Water Development,,,31/12/2011,None,Closed,8722612210292,0,490573.119, , , , ,68298.192, , , , ,155301.312,117631.615, ,74201.773,75140.224, , , , , , ,490573.119
Japan International Cooperation Agency ,The Project for Piloting the Implementation of the National Education Development Plan (DEPIP),Direct Project Support,Grant,EDUCATION,"Ministry of Education, Science and Technology",12/06/2006,,12/05/2010,None,Closed,8722612110069,1644912.696,4435302.104,34206.838, ,27677.648, ,88312.335,108268.171,215589.502,181643.496,282465.868,691539.227,544018.837,217067.932,428793.632,595746.186,977489.484, , , , , ,4392819.16
Japan International Cooperation Agency ,Technical Cooperation Project / Development of Smallholder Irrigation Scheme (Small Scale Irrigation),Direct Project Support,Grant,"WATER, SANITATION AND IRRIGATION",Ministry of Agriculture and Food Security,01/03/2006,01/03/2006,31/03/2009,None,Closed,8722612110111,2397162.379,2638756.34,120170.284, ,32065.054, ,184977.375,120205.158,172430.856,210573.633,424596.171,273518.718,644900.129, , , , , , , , , ,2183437.381
Japan International Cooperation Agency ,Technical Cooperation Project / Integration of the Public Sector Investment Program(PSIP) into District Planning System,Direct Project Support,Grant,ECONOMIC GOVERNANCE,Ministry of Economic Planning and Development,,,,None,Closed,8722612110167,3411010,130480.098, , , , , , ,130480.098, , , , , , , , , , , , , ,130480.098
Japan International Cooperation Agency ,The Project for Replacement of South Rukuru Bridge on M001 Road (Phase I and II).,Direct Project Support,Grant,"ROADS, PUBLIC WORKS AND TRANSPORT","Minstry of Transport, Public Works and Infrastructure",17/02/2010,17/02/2010,30/06/2012,None,Closed,8722612610817,12192956.66,12243397.25, , , , , , , , , , , , , ,4229547.509, ,3241071.449, ,2272573.186, ,1106969.179,10850161.32
Japan International Cooperation Agency ,Technical Cooperation / the Community Vitalization and Afforestation in the Middle Shire,Direct Project Support," - Grant
 - Technical Assistance","ENVIRONMENT, LANDS AND NATURAL RESOURCES",Japan International Cooperation Agency,11/01/2007,01/11/2007,30/11/2012,None,Closed,8722612110118,3250874.891,7868951.118, , , , ,191627.786,226457.838,177788.27,212133.372,405367.354,291698.431,722256.147,186511.286,242790.788,486510.164,923831.541,387409.441,2658009.632,756559.061, , ,7868951.118
Japan International Cooperation Agency ,Technical Cooperation Project / Institutional and Human Resource Development Project for One Village One Product programme,Direct Project Support,Grant,INTEGRATED RURAL DEVELOPMENT,Ministry of Local Government and Rural Development,01/07/2005,,01/06/2010,None,Closed,8722612110124,1932863.404,3987705.968,73395.054, ,388687.795,114515.361,172944.717,104055.041,114476.061,146339.012,272550.539,562841.758,474986.259,128270.243,228892.609,200524.15,373496.972, , , , , ,3355975.576
Japan International Cooperation Agency ,Development Study / The Capacity Building of Smallholder Farmers for the Management of Irrigation Schemes (Medium Scale Irrigation),Direct Project Support,Grant,"WATER, SANITATION AND IRRIGATION"," - Ministry of Agriculture and Food Security
 - Ministry of Irrigation and Water Development",15/12/2006,02/01/2007,30/06/2009,None,Closed,8722612110115,2300563.909,1747648.056, , ,718626.725,10706.605, , , ,78715.365,202304.911,297486.156,439808.29, , , , , , , , , ,1747648.056
Japan International Cooperation Agency ,Project for Establishment of CT Scan Services at Daeyang Luke Mission Hospital,Direct Project Support,Grant,HEALTH, ,01/10/2010,,31/10/2011,NGO,Closed,8722612610796,243175.78,120923.273, , , , , , , , , , , , , ,120923.273, , , , , , ,120923.273
Japan International Cooperation Agency ,Promoting Living and Learning Environment in Malawi's Community Based Child Care Centres and Primary Schools and High Impact Health Interventions at Community Level (through UNICEF),Direct Project Support,Grant,EDUCATION,"Ministry of Gender, Children and Community Development",11/03/2009,,31/03/2011,None,Closed,8722612210491,1022556.575,1012929.026, , , , , , , ,1012929.026, , , , , , , , , , , , ,1012929.026
Japan International Cooperation Agency ,Project for Construction of Water Supply Facilities in Nkhotakota,Direct Project Support,Grant,"WATER, SANITATION AND IRRIGATION",Ministry of Irrigation and Water Development,11/03/2009,,11/03/2010,None,Closed,8722612610449,44780.973,44780.973, , , , , , ,44780.973, , , , , , , , , , , , , ,44780.973
Japan International Cooperation Agency ,Project for Dzeyo School Block Construction,Direct Project Support,Grant,EDUCATION,"Ministry of Education, Science and Technology",11/03/2009,,11/03/2010,None,Closed,8722612610448,25462.354,25462.354, , , , , , ,25462.354, , , , , , , , , , , , , ,25462.354
Japan International Cooperation Agency ,The Project for Upgrading and Rehabilitation of Nathenje Residential Training Centre in Lilongwe District,Direct Project Support,Grant,AGRICULTURE, ,11/03/2009,,11/03/2010,None,Closed,8722612610447,50825.336,50825.336, , , , , , ,50825.336, , , , , , , , , , , , , ,50825.336
Japan International Cooperation Agency ,"The Project for Drilling Boreholes in T/A Njewa, Lilongwe",Direct Project Support,Grant,"WATER, SANITATION AND IRRIGATION", ,11/03/2009,,11/03/2009,NGO,Closed,8722612610446,50708.631,50708.631, , , , , , ,50708.631, , , , , , , , , , , , , ,50708.631
Japan International Cooperation Agency ,HCT Scale Up Project (Phase 2),Direct Project Support,Grant,HEALTH,Ministry of Health,23/02/2009,,30/03/2010,None,Closed,8722612610445,1082023.56,1022516.419, , , , , , ,1022516.419, , , , , , , , , , , , , ,1022516.419
Japan International Cooperation Agency ,Technical Officer for Planning and Budgeting,Direct Project Support,Grant,ECONOMIC GOVERNANCE,Ministry of Health,,01/10/2008,01/09/2010,None,Closed,8722612610436,536053.805,1964923.187, , , , , , ,60266.433,47338.709,1010009.179,216334.798,170892.66,62336.008,134225.715,80468.068,183051.613, , , , , ,1964923.187
Japan International Cooperation Agency ,Economic Development Promotion by Local Government (Traning in Japan),Direct Project Support,Grant,AGRICULTURE," - Ministry of Agriculture and Food Security
 - Ministry of Local Government and Rural Development",01/11/2006,01/11/2006,31/03/2009,None,Closed,8722611610390,96438.169,164779.279, , , , ,73298.516,23728.8, , , , , , , , , , , , , , ,97027.316
Japan International Cooperation Agency ,Review of the Outline Zoning Scheme of Lilongwe,Direct Project Support,Grant,"ENVIRONMENT, LANDS AND NATURAL RESOURCES",Ministry of Local Government and Rural Development,12/11/2008,01/03/2009,30/09/2010,None,Closed,8722611610389,0,6752139.117, , , , , ,47619.727,190044.256,960014.826,1161027.432,1411581.026,1178489.048, ,158560.966,24548.206,1620253.627, , , , , ,6752139.117
Japan International Cooperation Agency ,Advisor for Road Sector Policy and Development,Direct Project Support,Technical Assistance,"ROADS, PUBLIC WORKS AND TRANSPORT",Roads Authority,28/11/2008,31/12/2008,31/03/2010,None,Closed,8722611610388,261352.751,742474.974, , , , , ,21575.017,8162.302,76473.902,135891.204,265759.996,234612.551, , , , , , , , , ,742474.974
Japan International Cooperation Agency ,Capacity Building for Extension Trainer for Small scale Livestock Farming.,Direct Project Support,Technical Assistance,AGRICULTURE,Ministry of Agriculture and Food Security,,01/01/2008,31/03/2010,None,Closed,8722612210294,65126.045,569972.19, , , , ,65126.045,1260.456,945.292,60713.708,167756.301,91892.109,182278.277, , , , , , , , , ,569972.19
Japan International Cooperation Agency ,Project for the Replacement of Rukuru Bridge (Preliminary Study),Direct Project Support,Technical Assistance,"ROADS, PUBLIC WORKS AND TRANSPORT","Minstry of Transport, Public Works and Infrastructure",01/07/2008,,,None,Closed,8722612210293,65944.274,65944.274, , , , ,65944.274, , , , , , , , , , , , , , , ,65944.274
Japan International Cooperation Agency ,Advisor for Aid Management,Direct Project Support,Technical Assistance,ECONOMIC GOVERNANCE,Ministry of Finance,05/01/2008,,31/01/2011,None,Closed,8722612210291,206925.215,503220.803, , , , ,74929.449,17810.208, , , , , ,38020.063,85490.032,112516.117,174454.931, , , , , ,503220.803
Japan International Cooperation Agency ,National Aquaculture Strategic Plan Operational Advisor,Direct Project Support,Technical Assistance,AGRICULTURE,Japan International Cooperation Agency,29/01/2007,,28/02/2009,NGO,Closed,8722612210290,185061.397,83405.843, , , , ,83405.843, , , , , , , , , , , , , , , ,83405.843
Japan International Cooperation Agency ,Project for the Reconstruction of Blantyre City Road Phase I,Direct Project Support,Grant,"ROADS, PUBLIC WORKS AND TRANSPORT",Japan International Cooperation Agency,01/01/2008,,30/12/2008,NGO,Closed,8722612410267,7963379.643,6904850.818, , ,492160.133,2852883.324,2054003.527,1505803.833, , , , , , , , , , , , , , ,6904850.818
Japan International Cooperation Agency ,Follow up for enhancement of small and medium Enterprise,Direct Project Support,Grant,"TRADE, INDUSTRY AND PRIVATE SECTOR DEVELOPMENT", ,01/07/2007,01/01/2008,,NGO,Closed,8722612110141,44610.879,44610.879, , ,44610.879, , , , , , , , , , , , , , , , , ,44610.879
Japan International Cooperation Agency ,Technical Cooperation Project / Rural Electrification Promotion Project,Direct Project Support,Grant,ENERGY AND MINING,Ministry of Energy and Mines,05/10/2006,01/12/2006,01/12/2009,None,Closed,8722612110138,1703653.394,1915623.975,259139.544, , ,16267.484,1400.3,37711.868,568948.974,26328.773,69601.715,165145.443,498027.047, , , , , , , , , ,1642571.151
Japan International Cooperation Agency ,Technical Cooperation Project / Advisor for Aid Planning and management from doners,Direct Project Support,Grant,ECONOMIC GOVERNANCE, ,01/07/2007,,31/01/2008,None,Closed,8722612110130,210661.662,210661.662, , ,210661.662, , , , , , , , , , , , , , , , , ,210661.662
Japan International Cooperation Agency ,Grant Aid Project / Rehabilitation of the Bwanje Valley Irrigation System,Direct Project Support,Grant,"WATER, SANITATION AND IRRIGATION"," - Ministry of Agriculture and Food Security
 - Ministry of Irrigation and Water Development",01/07/2006,01/07/2006,31/12/2008,None,Closed,8722612110120,8311137.833,7927332.654,3295549.583, ,157575.757, ,1001718.694, , , , , , , , , , , , , , , ,4454844.035
Japan International Cooperation Agency ,Grant Aid Project / Lilongwe West Groundwater Development Project,Direct Project Support,Grant,"WATER, SANITATION AND IRRIGATION",Ministry of Irrigation and Water Development,01/08/2005,01/07/2005,01/03/2009,None,Closed,8722612110101,8819535.942,3205988.51, , ,635094.059,743271.722,159974.374,1154926.821, , , , , , , , , , , , , , ,2693266.977
Japan International Cooperation Agency ,Grant Aid Project / Rural Health Facility Improvement Project,Direct Project Support,Grant,HEALTH,Ministry of Health,01/07/2006,01/07/2006,03/11/2008,None,Closed,8722612110097,6207381.069,3137077.193, , ,3137077.193, , , , , , , , , , , , , , , , , ,3137077.193
Japan International Cooperation Agency ,Special Medical Equipment / Provision for Maternal Health,Direct Project Support,Grant,HEALTH,Ministry of Health,01/07/2005,01/07/2005,01/04/2009,None,Closed,8722612110095,893570.004,349467.045, , , ,176150.207, , , , , , , , , , , , , , , , ,176150.207
Japan International Cooperation Agency ,Community Empowerment Programme / Establishment of Integrated VCT Centres in Northern Region (BLM Clinics),Direct Project Support,Grant,HEALTH, ,01/07/2004,01/07/2004,30/03/2008,NGO,Closed,8722612110094,274507.152,220470.668,14577.276, ,41176.628, , , , , , , , , , , , , , , , , ,55753.905
Japan International Cooperation Agency ,Community Empowerment Programme / Enhanced Rural Targeted Outreach Communications (Population Services International),Direct Project Support,Grant,HEALTH, ,01/07/2006,01/07/2006,01/10/2009,NGO,Closed,8722612110090,259723.057,50527.661, , ,50527.661, , , , , , , , , , , , , , , , , ,50527.661
Kuwait Fund,Construction of the Thyolo-Makwasa-Phalombe-Bangula Road,Direct Project Support,Loan,"ROADS, PUBLIC WORKS AND TRANSPORT","Minstry of Transport, Public Works and Infrastructure",01/07/2008,01/07/2008,31/12/2011,None,Ongoing,8722613710379,14000000,3312206.779, , , , , , , , , , , , , , , , , ,2033898.305, ,1278308.474,3312206.779
Kuwait Fund,Construction of Zomba Jali-Phalombe-Chitakale-Road,Direct Project Support,Loan,"ROADS, PUBLIC WORKS AND TRANSPORT","Minstry of Transport, Public Works and Infrastructure",08/12/2004,08/11/2004,30/06/2007,None,Ongoing,8722613710378,42438294.69,792260.762, , ,21319, ,39990,417822,21094, , , , , , , , , , , , , ,500225
Netherlands,,,,,,,,,,,,656931.421,192034.883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192034.883,0,192034.883
Netherlands,Development phase of the reinforcement of the healthcare system (Fight against maternal and TB mortality) in Malawi),Direct Project Support,Technical Assistance,HEALTH,AMPC International Health Consultants,24/02/2012,24/02/2012,31/03/2012,NGO,Ongoing,8722617610997,656931.421,192034.883, , , , , , , , , , , , , , , , , , ,192034.883, ,192034.883
Norway ,SCC-Malawi's Lake Basin Programme Phase II,Direct Project Support,Grant,AGRICULTURE,Swedish Cooperative Centre,,01/07/2009,,NGO,Closed,8722613110325,0,10976902.82, , , , , , , ,599511.398, ,354480.895, ,953204.243, ,1482864.625, , ,1072797.323,1657300.614, ,492408.586,6612567.686
Norway ,Malawi Department of Culture - Cultural Heritage Programme,Direct Project Support,Grant,"TOURISM, WILDLIFE AND CULTURE","Ministry of Tourism, Wildlife and Culture",08/12/2011,31/01/2012,01/12/2014,None,Ongoing,8722612610950,0,787402.386, , , , , , , , , , , , , , , , , ,216321.343, , ,216321.343
Norway ,Contribution to Health SWAp III Malawi/Norway/Germany Initiative on Maternal Health (Results Based Financing of Maternal and Newborn Health),Direct Project Support,Grant,HEALTH,Ministry of Health,08/08/2011,08/08/2011,31/12/2015,None,Ongoing,8722612610952,5116241.274,4977848.823, , , , , , , , , , , , , , , , ,893997.769, , , ,893997.769
Norway ,Farm Inputs Subsidy Programme (2011-2013),Farm Input Subsidy Program - Pooled,Grant,AGRICULTURE, ,23/11/2011,01/12/2011,31/12/2012,None,Ongoing,8722612610949,11837645.49,18179506.74, , , , , , , , , , , , , , , , , ,11688330.65, , ,11688330.65
Norway ,NAC Pooled Funding,Sector Support - NAC," - Grant
 - Loan",HEALTH,"Nutrition, HIV and AIDS and National AIDS Commission",01/07/2003,01/07/2003,31/03/2009,None,Ongoing,872261149886,13670444.54,14082767.74, ,5551603.022, ,-2966126.831, , , ,2326627.475,2356748.943, , , , , , , , , , , ,7268852.61
Norway ,Health SWAP Pooled Funding II and III," - Health SWAp - Discrete
 - Health SWAp - Pooled"," - Grant
 - Technical Assistance",HEALTH,Ministry of Health,25/05/2009,25/05/2009,23/03/2012,None,Ongoing,872261149882,10519626.28,88240199.82, , , ,23729014.65, ,4754.568, ,14114873.35, , , ,19064084.88,6604964.001, , , , , , , ,63517691.46
Norway ,Total Land Care - Management for Adaptation for Climate Change,Direct Project Support,Grant,"ENVIRONMENT, LANDS AND NATURAL RESOURCES",Total Land Care,01/07/2008,01/07/2008,30/06/2012,None,Ongoing,8722612310062,5875210.528,9295182.373, , , , ,939337.579, , ,697988.242, ,520381.613, , ,195480.274,702085.646,715198.215, , ,353362.552, ,765579.716,4889413.841
Norway ,MEPD - Macro Model for the MGDS II - Phase 3,Direct Project Support,Grant,ECONOMIC GOVERNANCE,Ministry of Economic Planning and Development,28/06/2012,02/04/2012,30/06/2014,None,Ongoing,8722617611041,982195.729,411776.717, , , , , , , , , , , , , , , , , , , ,108231.407,108231.407
