Donor,Project Title,Objective,Project Description,Actual Start Date,Actual Completion Date,Financing Instrument,OECD/DAC Sectors,2008 Actual Commitments,2009 Actual Commitments,2010 Actual Commitments,2011 Actual Commitments,2012 Actual Commitments,2013 Actual Commitments,2014 Actual Commitments,2015 Actual Commitments,Total Actual Commitments
European Union,Modern Information Services for Improvment Study Quality,"To provide modern informational services for medical community in Moldova (students, residents, master and doctoral students, teaching staff, researchers, physicians, nurses, etc.) and to optimise the management of library collections through the implementation of up-to-date technologies RFID.","This project provides a series of actions to raise the quality of education, by expanding and improving access to scientific information for the academic community in the country. For this purpose, it is expected the establishment of university libraries shared catalog, institutional repositories, growing the information culture of the beneficiaries.",01/12/2013,30/11/2016,Grant,110 - EDUCATION,0,0,0,0,0,569455,0,0,569455
European Union,SECTOR POLICY SUPPORT PROGRAMME TO REFORM OF THE ENERGY SECTOR,To support the reform of the energy sector and to facilitate technical improvements in its operation.,"The main objective of this SPSP is to support the reform of the energy sector and to facilitate technical improvements in its operation. It will offer a flexible instrument to support the Government of the Republic of Moldova (GoM) efforts towards further progress on the implementation of the Moldovan energy strategy and energy sector development. This will be achieved through the support of interventions in the preparation and adoption of appropriate legislation that are set out in the policy matrix, as well as technical assistance and policy dialogue.",06/12/2011,05/12/2015,Grant,230 - ENERGY GENERATION AND SUPPLY,0,0,0,40000000,0,0,10000000,0,50000000
European Union,SECTOR POLICY SUPPORT PROGRAMME ECONOMIC STIMULATION IN RURAL AREAS (ESRA),,"The objective of this Sector Policy Support Programme (SPSP) is to contribute to the sustainable economic development of rural areas in the Republic of Moldova. This will be achieved through the support of interventions in (i) the economic and SME sectors and (ii) on regional development that are foreseen in the policy matrix, as well as technical assistance and policy dialogue.",26/11/2010,26/11/2015,Grant,250 - BUSINESS AND OTHER SERVICES,0,0,42000000,0,14000000,0,12000000,0,68000000
European Union,Financing Agreement between the European Union and the Government of the Republic of Moldova on Support for Justice Sector Reforms,"Obiectivul Strategiei este crearea unui sistem al justi_iei echitabil, calitativ, cu zero toleran__ fa__ de corup_ie, pentru o dezvoltare durabil_ a __rii _i responsabilitate sporit_ fa__ de justi_iabili. Fondurile sunt condi_ionate de progresele atinse în realizarea matricei de politici, care includ m_suri ce _in de cadrul legislativ _i institu_ional al reformei justi_iei; managementul finan_elor publice _i planificarea bugetului; reforma sistemului judec_toresc; reforma procesului de invesiga_ie prejudiciar_; executarea hot_rîrilor judec_tore_ti; justi_ia juvenil_; toleran_a zero fa__ de corup_ie în sistem; m_suri adi_ionale pentru consolidarea protec_iei drepturilor omului în Republica Moldova.","Obiectivul Strategiei este crearea unui sistem al justi_iei echitabil, calitativ, cu zero toleran__ fa__ de corup_ie, pentru o dezvoltare durabil_ a __rii _i responsabilitate sporit_ fa__ de justi_iabili. Fondurile sunt condi_ionate de progresele atinse în realizarea matricei de politici, care includ m_suri ce _in de cadrul legislativ _i institu_ional al reformei justi_iei; managementul finan_elor publice _i planificarea bugetului; reforma sistemului judec_toresc; reforma procesului de invesiga_ie prejudiciar_; executarea hot_rîrilor judec_tore_ti; justi_ia juvenil_; toleran_a zero fa__ de corup_ie în sistem; m_suri adi_ionale pentru consolidarea protec_iei drepturilor omului în Republica Moldova.",14/06/2013,14/06/2018,Grant,150 - GOVERNMENT AND CIVIL SOCIETY,0,0,0,0,0,60000000,0,0,60000000
European Union,Moldelectrica Power Transmission Network Rehabilitation (NIF),"To reinforce regional interconnections and develop regional electricity trade, helping the integration of the Republic of Moldova to the European Network of Transmission System Operators for Electricity",The project will upgrade the existing network and reduce losses.,01/04/2013,01/11/2019,Grant,230 - ENERGY GENERATION AND SUPPLY,0,0,0,0,8000000,0,0,0,8000000
European Union,Support to eTwinning plus,"To facilitate the participation of education institutions in the context of eTwinning plus initiative, which promotes school collaboration in Europe through the use of Information and Communication Technologies (ICT) by providing support, tools and services for schools.","Fundatia Est-Europeana is the Partner Support Agency of eTwinning plus programme for the Republic of Moldova. The Education, Audiovisual and Cultural Executive Agency of the European Union contributes to the functioning of the Moldovan PSA.",16/04/2014,15/07/2016,Grant,110 - EDUCATION,0,0,0,0,0,0,95000,0,95000
European Union,Enhacing regional CBRN detection capacity for the Border Guards in Ukraine and Moldova,"The overall objective of the project is to combat illicit trafficking of chemical, radiological and nuclear materials in Ukraine and Moldova",Support to Moldovan Ministry of Interior Delvery of: Item 1- 300 gmma detectors; Item 2 - 2 mobile/Backpack detection and identification of radionuclide units; Item 3 - 5 Personal Radiation Detectors (PRD); Item 4 - 1 Personal radioation identifier; Item 5 - 2 Persnal radiation identifier; Item 6 - 16 Handheld Chemical detectors. The equippment for the Moldovan Ministry of Interior wll be delivered in Chisinau. The detailed technical specifications/operational requirments are listedin Appendix 1 of the Contract.,01/10/2014,01/10/2015,Grant,400 - MULTISECTOR/CROSS-CUTTING,0,0,0,0,0,0,450000,0,450000
European Union,ARAB-TRANS – Political and Social Transformations in the Arab World,The central objective is to analyse the processes of political and economic transformations in 7 Arab countries,"... Describing, explaining and understanding the root causes of the evolution and future outlook of the Arab Spring and Arab Revolution",01/04/2013,31/03/2016,Grant,400 - MULTISECTOR/CROSS-CUTTING,0,0,0,0,0,2489914,0,0,2489914
European Union,Budget support to the implementation of the Visa Liberalisation Action Plan,"The overall objective is to contribute to the improvement of the mobility of Moldovan nationals, while ensuring public order and security, consolidating the rule of law and strengthening human rights protection in line with European standards.",The specific activities of this SPSP are derived from the EU-Moldova Action Plan on Visa Liberalisation and its action plan. Enhanced Border Management Enhanced Migration Management Enhanced Public Order and Security,12/06/2014,12/07/2017,Grant,150 - GOVERNMENT AND CIVIL SOCIETY,0,0,0,0,0,0,21000000,0,21000000
European Union,"Project To Support The Pre-Trial Investigation, Prosecution And The Defence Set-Up In Moldova","To accelerate the sustainable reform of the justice sector in Moldova and to increase the efficiency of the judiciary and other agencies in the justice chain To support redefinition of institutional and procedural set-up for the pre-trial stage, resulting in 'more efficient evidence collection, detection and prosecution of crime', while 'respecting human rights and fundamental freedoms'; To contribute to a more effective independent and specialized 'investigation of ill-treatment and other abuses committed by law enforcement officials","The project purports to support the pretrial investigation, prosecution and defense set up in the republic of Moldova, implementation of the strategy for the justice sector reform - pillar ii -through enhancement of amendments to the legislative framework of public prosecution, monitoring and overall participatory coordination of pillar ii of the justice sector reform. The main focus of this project is on the institutional and technical support for intensive implementation of the reform in order to develop an accessible, fair, efficient, independent, transparent and professional justice and related sector, with public accountability and zero tolerance to corruption, in conformity with European standards and in the interest of ensuring rule of law and respect for human rights.",01/10/2014,28/02/2017,Grant,150 - GOVERNMENT AND CIVIL SOCIETY,0,0,0,0,0,0,2007500,0,2007500
European Union,Technical Assistance Economic Stimulation in Rural Areas (ESRA),"A contribui la dezvoltare economic_ echilibrat_ în RM cu accent pe zonele rurale prin politici economice eficiente la nivel de _ar_ _i de sector, un mecanism de coordonare _i finan_are mai bun _i transparent prin sprijinirea implement_rii Programului ESRA",,26/11/2011,26/11/2015,Grant,150 - GOVERNMENT AND CIVIL SOCIETY,0,0,0,0,3000000,0,1000000,0,4000000
European Union,Filière-du-vin Upgrading,"· Restructuring the wine sector and support industries and promoting the production of quality wine, i.e. wines of Protected Designation of Origin (P.D.O.) or Protected Geographical Indication (P.G.I.);· Improving the quality and consistency of wines produced in Moldova beginning with the quality of vineyards to the final packaging and dispatch of products;· Diversifying the country's export markets by guaranteeing the authenticity of wine products;","Moldova's Wine Sector Restructuring Program has been created by the Government of the Republic of Moldova and the EIBk to address the structural weaknesses in the Moldovan wine industry. This project is directed on small and medium sized enterprises, by restructuring the wine industry, improving the quality and consistency of wine produced in Moldova from the quality of vineyards to the final packaging and dispatch of products, and diversifying the country’s export markets. The proceeds of the Loan are to be used exclusively for developing the production of bottled wines of “Protected Designation of Origin” or “Protected Geographical Indication” and are not be used for the expansion of area in Moldova used for the cultivation grapes.",23/11/2010,22/11/2016," - Grant
 - Soft Loan",250 - BUSINESS AND OTHER SERVICES,0,0,0,0,2000000,0,0,0,2000000
European Union,Water supply and sanitation Project in Chisinau,Improving of water quality in Chisinau,"The program provides the infrastructure rehabilitation of water supply system and sanitation in Chisinau, in particular: - Rehabilitation of water supply and sanitation inter-districts; - Reconstruction the water treatment station in Chisinau (stage II); - Purchase of equipment;",07/02/2014,07/02/2018," - Grant
 - Soft Loan",140 - WATER AND SANITATION,0,0,0,0,0,0,13800000,0,13800000
European Union,Support for vocational training in sustainable forestry (SUSFOR),The wider objective of the project is: To strengthen the capacity of higher education institutions in Russia and Moldova for international cooperation and opening themselves up to the non-academic community.,"The project aims to create a system of continuing education in the field of forestry and strengthen institutions of higher education in the Russian Federation and the Republic of Moldova, to open them to the non-academic community. Therefore the focus of the project is to establish an LLL training system, improve teaching capacity through the train-the-trainer activity, develop and deliver pilot LLL training in sustainable forestry. Relevant educational provision in a lifelong learning context cannot be done by institutions on their own.",01/12/2013,30/11/2016,Grant,110 - EDUCATION,0,0,0,0,0,678510.27,0,0,678510.27
European Union,Strengthening non-State actors' Capacities to Promote Reform and increase Public Accountability,"The overall objective of the Eastern Neighbourhood Civil Society Facility, of which this project is a part, is to strengthen and promote civil society's role in reforms and democratic changes taking place in the Eastern Neighbourhood countries",This project it aims at strengthening the overall capacities of civil society organizations and facilitating their involvement in the policy dialogue thus increasing their contribution to the political and institutional framework of the partner countries,24/12/2012,23/12/2015,Grant,150 - GOVERNMENT AND CIVIL SOCIETY,0,0,0,0,598493.905,0,0,0,598493.905
European Union,SUPPORT TO REFORM OF THE ENERGY SECTOR,"The overall objective of the Sector Policy Support Programme (SPSP) “Support to Reform of the Energy Sector”, of which this contract will be a part is to support the Government of Moldova in the implementation of reforms in its energy sector with a particular focus on supply security, energy efficiency and renewable energy, by providing finance, technical assistance and policy dialogue for priority activities of high relevance for the Moldovan population and development of the energy sector.In the context of implementation of the SPSP “Support to Reform of the Energy Sector” (SPSP Energy), the Contractor will provide advice on the fulfilment of the targets and indicators concerning the reform of the energy sector, as identified in the Policy Matrix attached to the Financing Agreement between the Government of Moldova and the EU.","The project provides technical assistance and support to the Government of Moldova and specifically to the Ministry of Economy, to achieve fulfillment of the targets and indicators specified in the Financing Agreement of the SPSP “Support to Reform of the Energy Sector”, as well as the commitments under the Energy Community Treaty.The project covers manly the areas of Energy Efficiency and Renewable Energy Sources from policy, legislative, institutional and regulatory points of view, as well as capacity building and promotional activities.",05/06/2012,03/12/2015,Grant,230 - ENERGY GENERATION AND SUPPLY,0,0,0,2600000,0,0,0,0,2600000
European Union,Financing Agreement between the European Commission and the Government of the European Union on Support to the implementation of DCFTA process in Moldova,"To assist the Government of Moldova in promoting sustainable and inclusive growth, and consolidating and improving democratic and economic governance","To support the implementation of DCFTA process in Moldova and the improvement of key competitiveness aspects in line with the policies and reforms outlined in the Association Agreement (AA)/DCFTA initialled between the Republic of Moldova and the EU in the following areas: Quality infrastructure, in particular standardisation, metrology, conformity assessment, testing, accreditation and international cooperation in these areas including recognition; Market surveillance and enforcement, including industrial and non-industrial products and services; Development and diversification of the Moldovan internal and external market conditions and opportunities for SMEs increased competitiveness; Extensive public awareness programme promoting competitiveness/DCFTA long-term benefits through public events for citizens, civil society representatives and businesses.",05/11/2014,05/11/2017,Grant,150 - GOVERNMENT AND CIVIL SOCIETY,0,0,0,0,0,0,30000000,0,30000000
European Union,Financing Agreement between the European Commission and the Government of the Republic of Moldova on Support to Public Finance Policy Reforms to Moldova,"To contribute to sustainable growth, maintened macroeconomic and fiscal stability and ultimately contribute to poverty reduction.","To assist the government (especially the Ministry of Finance), Parliament (particularly the Commission Economy, Budget and Finance) and Supreme Audit Institutions (Court) of Moldova in strengthening good governance, effective fiscal policy, public finance policies transparent and accountable and strengthening public finance management system.",27/10/2014,27/10/2018,Grant,150 - GOVERNMENT AND CIVIL SOCIETY,0,0,0,0,0,0,37000000,0,37000000
European Union,"Sprijin acordat sistemelor de Exacutare, Proba_iune _i Reabilitare în Moldova",,,27/10/2014,26/04/2017,Grant,150 - GOVERNMENT AND CIVIL SOCIETY,0,0,0,0,0,0,1790700,0,1790700
European Union,Financing agreement between the Government of the Republic of Moldova and the European Commission on the Reform Support Program Justice Sector,"Din cadrul Planului Na_ional de Ac_iuni 2011 (PNA), 10 milioane Euro vor fi direc_ionate pentru finan_area Programului de Suport a Reformei Sectorului Justi_iei, cu obiectivul general de creare a unui sistem al justi_iei echitabil, calitativ, cu zero toleran__ fa__ de corup_ie, pentru o dezvoltare durabil_ a __rii _i responsabilitate sporit_ fa__ de justi_iabili. Programul are de asemenea ca scop preg_tirea sectorului justi_iei pentru Programul de Suport Bugetar, planificat a fi finan_at în cadrul PNA 2012, cu un buget ~ 60 mln. Euro.","Cele 10 milioane ale Programului vor fi alocate pentru 4 proiecte pe o perioad_ de 3 ani: 1) Suport organului de coordonare a reformei justi_iei _i implement_rii strategiei de reformare a justi_iei – 2,8 mln. Euro; 2) suport procesului prealabil judec__ii – 2 mln. Euro; 3) cre_terea eficien_ei, responsabilit__ii _i transparen_ei cur_ilor în Moldova – 3 mln. Euro; 4) suport sistemului de executare, proba_iune _i reabilitare în Moldova - 2 mln. Euro. Termenii de referin__ pentru proiectul 1) au fost elabora_i în comun cu beneficiarul _i vor fi propu_i în curînd spre semnare.",27/04/2012,27/04/2017,Grant,150 - GOVERNMENT AND CIVIL SOCIETY,0,0,0,0,1891820,0,0,0,1891820
European Union,BUDGET SUPPORT WATER PROGRAMME,"The main objective of this budget support (Sector Policy Support Programme, SPSP) is to support the Republic of Moldova in the implementation of reforms in its drinking water and sanitation sector, by providing finance, technical assistance and policy dialogue for priority activities of high-relevance for the Moldovan population and environment.","This budget support helps Moldova to achieve the mid-term objectives of the Strategy of Water Supply and Sewage Disposal in Communities of the Republic of Moldova, Government Decision nr. 662 of 13.06.2007. The introduction of EU-quality standards will be promoted throughout the programme and demonstrated in a pilot project with a certified EU Member-State development agency in the Nisporeni raion of Moldova.",01/09/2009,31/12/2014,Grant,140 - WATER AND SANITATION,0,15000000,0,0,14000000,13000000,6000000,0,48000000
European Union,Smarter Cluster Policies for South East Europe,"The Overall objective of the project is to enhance the capacity of regional policy makers to confront, prevent and anticipate change, developing smart specialization strategies for cluster improvement, thus accelerating differentiation and structural change towards a knowledge-based economy in which there is a place for all SEE regions to position themselves.","ClusterPoliSEE aims at defining, developing and implementing regional cluster policies as a corollary of the pooling of resources and integration of activities along the global value chain, matching regional competitive advantages with international synergies.",05/11/2013,30/06/2015,Grant,250 - BUSINESS AND OTHER SERVICES,0,0,0,0,0,77472.43,19368.11,0,96840.54
European Union,Improved Regional Statistics in the Republic of Moldova EuropeAid/135392/D/SER/MD,,,10/11/2014,10/11/2016,Grant,150 - GOVERNMENT AND CIVIL SOCIETY,0,0,0,0,0,0,2000000,0,2000000
European Union,"Combating Discrimination in the Republic of Moldova, including the Transnistrian region","To address discrimination in Moldova as concerns people belonging to stigmatized or marginalized groups. Specific objective(s): 1) Creation of a network of children with disabilities and their parents to legally empower them to seek inclusive education in Moldova, including in Transnistrian region; 2) Creating an environment for integrated education for Roma in key problematic municipalities, including in the Transnistrian region; 3) Promoting the freedom of assembly for LGBT; 4) Establishment of alternative service for conscientious objectors in the Transnistrian region; 5) Strengthening the competences of judicial bodies to rule on discrimination in accordance with international law; 6) Increasing the understanding of the Equality Council as concerns international anti-discrimination law; 7) Achieving significant advancement in documentation of discrimination.","The ability of victims of discrimination to claim equality rights will be strengthened inter alia by heightening the legal and methodological competences of their representative organizations to take action in cases of discrimination, as well as to act on thematic issues facing stigmatized communities. The ability of judges - the primary enforcement body envisioned under Law 121/2012 on Ensuring Equality - will be heightened through training with a view to applying anti-discrimination law in accordance with international law. The abilities of the Council on Preventing and Combating Discrimination and Ensuring Equality, relevant quasi-judicial body, will be enhanced through action on discrimination cases, as well as regular consultation and advice provided to members and staff. The public record on cases of discrimination in Moldova will be improved through strengthening documentation and awareness-raising activities. Public understanding of discrimination as a problem of all societies will be improved through awareness-raising activities.",01/04/2014,30/09/2015,Grant,150 - GOVERNMENT AND CIVIL SOCIETY,0,0,0,0,0,300000,0,0,300000
European Union,Construction of jointly operated border crossing point Palanca,The project supports trade facilitation in the region of Palanca with the creation of a jointly operated border crossing point (JOBCP) at Palanca,"The overall objective of the Action is to create a jointly operated border crossing point (JOBCP) at BCP Palanca, on the territory of Moldova, respecting all EU standards and principles of a JOBCP, ensuring improved conditions for business and trade, safe, secure, gender friendly and facilitated movement of people and goods across the border, thus contributing to the economic stabilization and sustainable development of the region.",01/01/2015,31/12/2018," - Government Counterpart Funds
 - Grant",323 - CONSTRUCTION,0,0,0,0,0,0,0,5218921.351,5218921.351
European Union,"""Increased Efficiency, Accountability and Transparency of Courts in Moldova"" (ATRECO)",The overall objective of the project is to support the implementation of the sustainable reform of the justice sector in Moldova and to increase the efficiency of the judiciary and other agencies in the justice sector.,"The project will provide support to sector institutions involved in the judicial activities, in the form of institutional and organisational management - including direct assistance and on the job coaching; expertise related to the technical dialogue process; progress monitoring and steering of the various actions and work plans. To this end, the project aims to increase the efficiency, impartiality, accountability and transparency of the courts in Moldova; to help ensure that the judiciary is a real guarantor of the observance of human rights and security for every person in the course of litigation procedure; to help in application of best practices to reduce the level of judicial corruption and increase public trust in the judiciary; to improve efficiency in court's budget, including by supporting the implementation of optimization of court's displacement map and allocation of judges and court staff per courts; and to develop the capacity of the judicial institutions to take ownership of the information, IT, video and audio-recording systems, to further improve data management generated by the courts.",29/09/2014,31/03/2017,Grant,150 - GOVERNMENT AND CIVIL SOCIETY,0,0,0,0,0,0,2078700,0,2078700
European Union,Eastern Partnership Territorial Cooperation Programmes,To promote sustainable territorial cooperation between the participating border regions to support their social and economic development.,"The EC will implement the EaPTC Programmes in indirect centralised management with the GIZ assuming the responsibility of the Management Authority and Technical Secretariat As such, the GIZ will be responsible for launching calls for tenders and calls for proposals as well as evaluating those tenders and proposals. It will also act as Contracting Authority (CA) concluding and managing contracts, carrying out payments, recovering sums due and cancelling debts that cannot be recovered.",19/05/2014,31/12/2016,Grant,400 - MULTISECTOR/CROSS-CUTTING,0,0,0,0,0,0,95230,0,95230
European Union,MODERNISATION OF LOCAL PUBLIC SERVICES IN THE REPUBLIC OF MOLDOVA,Public servi_es in selected _ommunities in the country have improved.,"Management _apa_iti_s _f sele_ted _ommunities will be strength_ned to enable them providing improved public s_rvi_es. A str_nger p_rti_ipati_n of the _ivil so_i_ty, th_ in_lusion of th_ private se_tor and an in_r_ased inter-comunal _oop_ration will improv_ th_ finan_ial and organisational pr_conditions for the delivery of improved public s_rvi_es.The a_tivities of th_ proj__t will _over four dim_nsions r_levant for _apa_ity d_v_lopment: p_opl_, _rganisations/institutions, networks and poli_y.Th_ proj__t _omponents will in_lude training and _onsultan_i_s in te_hni_al asp__ts and administrativ_ issu_s as w_ll as planning and dev_lopm_nt by international and nation_l spe_ialists, pro_urement of goods _n a minor s_ale as well as subsidies for s_le_t_d infr_stru_tural proje_ts. Furthermore th_ proje_t will assist the __mmunities and rayons to apply for finan_ial assistan__ from various national and int_rnational funds lik_ th_ So_ial Inv_stm_nt Fund in Moldova and EU grant fa_iliti_s for infrastru_tural improvements. All proj__t _artn_rs will be supported in str_ngthening __isting _oop_ration networks and building u_ new on_s.Th_ Ministry of Constru_tion and R_gional D_v_l_pm_nt will be support_d in the _laboration of proposals for th_ impr_vem_nt of l_gal and finan_ial _onditions for th_ public s_rvi_e infrastru_tur_.Th_ involv_m_nt of th_ Associations of _a_ors in dis_ussions on th_ reforms for str_ngthening of public services delivery will _ontribute to active lobby by the public services institutions their interests vis-à-vis th_ __ntral government.",01/01/2010,31/12/2015,Grant,150 - GOVERNMENT AND CIVIL SOCIETY,0,0,0,0,0,5000000,0,0,5000000
European Union,SUPPORT TO CONFIDENCE BUILDING MEASURES II,"The overall objective of the programme is to facilitate the settlement of the Transnistrian issue through ensuring economic and social development of local communities and increasing confidence between both banks of the Nistru River by involving local authorities, civil society organizations, business community and other stakeholders.","The overall objective of the programme is to contribute to confidence building between both banks of the Nistru River by involving local authorities, civil society organisations, business community and other stakeholders, as well as through ensuring economic and social development of local communities. The programme aims to ensure that ongoing efforts at settlement at the political level (5+2 informal and formal talks) and technical levels (confidence building working groups) are supported by development and confidence building initiatives at the community level that seek to create a general atmosphere conducive to dialogue and cooperation at all levels. The programme aims to reduce misperceptions and mistrust and increase confidence between programme participants and the population at large on both banks.",01/04/2012,31/10/2015," - Government Counterpart Funds
 - Grant",150 - GOVERNMENT AND CIVIL SOCIETY,0,0,0,0,2369237,3392309,3130763,0,8892309
European Union,Entrepreneur alumni network,"To establish sustainable Entrepreneur Alumni Network (EAN) which support the entrepreneurial spirit among students, scientists and alumni and raise an entrepreneurial ecosystem in Georgia, Moldova and Ukraina","The EANET project promotes entrepreneurial activities among university alumni from the participant countries. At each university an entrepreneur alumni association is founded, with the option of creating national and regional structures, which would allow for the exchange of contacts, experience and business opportunities. From such already existing associations in Amsterdam, Netherlands, and Berlin, Germany, a skill transfer is planned, such that the beneficiary countries will have similar, functioning centers, which later on will generate their own funding for their activities.",01/12/2013,30/11/2016,Grant,110 - EDUCATION,0,0,0,0,0,197274,0,0,197274
European Union,ACHIEVING EQUITY IN HEALTH (2013-2017),"Reduce disparities in access to child and adolescent health services: child health, micronutrient deficiencies, HIV/AIDS prevention, Youth friendly health services, communication activities in immunization, parenting, adolescent health behaviour),etc","Support the development of policy documents to ensure equitable access of most vulnerable children and adolescents to quality health services; support community and parent's participation in child and adolescent health and development strengthening the capacity of the health system to provide quality health services to children and adolescent, including in emergencies",01/01/2013,31/12/2017,Grant,120 - HEALTH,0,0,0,0,0,195902.492,0,0,195902.492
European Union,EMPOWERING ADOLESCENTS (2013-2017),"By 2017 adolescent boys and girls, especially most vulnerable and excluded, have knowledge, skills and support from peers and adults to adopt healthy lifestyle, demand appropriate services and otherwise exercise their rights",Support the development of policy documents to ensure equitable access of most vulnerable adolescents to quality health services; support community and parent's participation in adolescent health and development strengthening the capacity of the health system to provide quality health services to adolescent.,01/01/2013,31/12/2017,Grant," - 120 - HEALTH
 - 130 - POPULATION POLICIES/PROGRAMMES AND REPRODUCTIVE HEALTH",0,0,0,0,0,129923.142,0,0,129923.142
European Union,Patrularea comun_ pe segmentul frontierei comune verzi/albastre între Republica Moldova _i Ucraina,,,24/12/2014,25/12/2017,Grant,150 - GOVERNMENT AND CIVIL SOCIETY,0,0,0,0,0,3200000,0,0,3200000
European Union,Comprehensive demonstrational project for sustainable energy development in the town of Orhei,"Acest proiect va lucra la dezvoltarea cogener_rii de înalt_ eficien__, dezvoltarea de utilizare a energiei regenerabile, modernizarea sistemului de termoficare, precum _i consolidarea eficien_ei energetice în mai multe cl_diri publice _i reziden_iale ale ora_ului","This project will work on the development of high efficiency cogenerations, development of use of renewable energy, modernization of the district heating system, and reinforcement of energy efficiency in several public and residential buildings of the city; The project is planned for 38 months and the EU is to finance 75, 4% of the total cost of the project.",22/12/2014,22/02/2018,Grant,230 - ENERGY GENERATION AND SUPPLY,0,0,0,0,0,0,767698.6,0,767698.6
European Union,Green Light Moldova – Modernisation and Saving Energy in Street Lighting,"This project will work on the modernization and installation of modern, energy efficient street lightings in the three municipalities of Ocnita, Soroca and Cantemir; The project is planned for 24 months and the EU is to finance 80% of the total cost of the project.","This project will work on the modernization and installation of modern, energy efficient street lightings in the three municipalities of Ocnita, Soroca and Cantemir; The project is planned for 24 months and the EU is to finance 80% of the total cost of the project.",31/12/2014,31/12/2016,Grant,230 - ENERGY GENERATION AND SUPPLY,0,0,0,0,0,0,400000,0,400000
European Union,Convention for Waste management for inland Navigation on the Danube,"The project aims for establishing a sustainable, environmentally sound and transnationally coordinated approach in ship waste management along the Danube by increasing the relevance of the policies formulated in the Republic of Moldova to tackle these issues and creates the basis for preparation and follow up ratification of the Danube ship waste management treaty","Inland navigation on Danube is a promising, environmental-friendly transport mode. Since transports mostly are carried out beyond national borders, existing international conventions ensure smooth operation of vessels along the rivers and unify national laws. Besides fairway related issues, technical requirements for vessels and guidelines for the transport of dangerous goods, also the management of the ship wastes shall follow harmonised and state-of-the-art procedures. So the development of International Danube Ship Waste Convention along the Danube for Moldova is important. The main focus of CO-WANDA is to start initiative work for a binding treaty, which shall provide clear guidelines for ship waste management. In fact, the harmonisation and adaptation of currently running ship waste management systems will decrease the risk of illegal discharges of ship wastes and thereby support the protection of valuable river ecosystems and the means of livelihoods for future generations in the Danube region. All measures aim at the development of an International Danube Ship Waste Convention (IDSWC), which harmonises ship waste management along the Danube.",01/11/2013,31/12/2015,Grant,400 - MULTISECTOR/CROSS-CUTTING,0,0,0,0,0,30000,70016,0,100016
European Union,"INVENTORY, ASSESSMENT AND REMEDIATION OF ANTHROPOGENIC SOURCES OF POLLUTION IN THE LOWER DANUBE REGION OF UKRAINE, ROMANIA AND THE REPUBLIC OF MOLDOVA",The overall objective of the project is to reduce the environmental impact of chemical dumps and wastewater discharges in the Lower Danube region as well as enhance environmental monitoring of soil and water pollution and make the information publicly available.,"The project falls under the Priority 2 of the Cross Border cooperation program: Environmental challenges and emergency preparednessThis project will lay the basis for cross-border cooperation in the Lower Danube region for identifying significant land-based sources of pollution, improved monitoring of them, sharing information about them, and developing a strategy for reducing or eliminating their impacts. The three countries concerned share the Danube River as a single hydrological unit.The project builds on a number of previous Phare and Tacis projects that were undertaken in the region over the last 15 years as part of the wider Danube Basin Pollution Reduction Programme (now incorporated in the Danube River Protection Convention), but which were focused on the individual country concerned.",01/12/2013,17/04/2016,Grant,400 - MULTISECTOR/CROSS-CUTTING,0,0,0,0,0,2909770,0,0,2909770
European Union,"East-Avert - Prevention and protection against floods in the upper basins of the river Siret and Prut, by applying a system of self-monitoring stations",To protect the border areas from flood risk through preventive measures,"This project aims to protect the border areas from flood risk through preventive measures. Improving the monitoring of headwaters of the two rivers is necessary given that Romania and Moldova are the countries located downstream of Ukraine, and good management would improve data collection and their transmission, so that emergency (heavy rain, accidental pollution) measures are taken timely and interventions would reduce reduce possible damage. This project intends to perform the following actions at the Hydro-technical Node - ""Coste_ti - Stînca"" - Rehabilitation of the main dam and career; - Rehabilitation of the information system and that of monitoring structure behavior; - Paving of access roads; - Waterproofing walls; - Repairing hydro-mechanic and electric equipment;",29/11/2013,28/10/2015," - Government Counterpart Funds
 - Grant",400 - MULTISECTOR/CROSS-CUTTING,0,0,0,0,0,0,2070000,0,2070000
European Union,Moldova North Water Project,"To develop regional water supply system in Northern Moldova on the backbone of the existing Soroca-Balti Pipeline, and to improve the quality and efficiency of water and wastewater services in the operation area.","The Project comprises priority capital investments to (i) rehabilitate the Soroca-Balti Pipeline and existing water networks in the project region, (ii) expand existing water networks and increase new connections to the Soroca-Balti Pipeline and within Rayons, (iii) reduce water losses, and (IV) finance energy efficiency components.",30/07/2014,31/12/2018," - Grant
 - Soft Loan",140 - WATER AND SANITATION,0,0,0,0,0,0,10000000,0,10000000
European Union,EU HIGH LEVEL POLICY ADVICE MISSION TO MOLDOVA,"The overall objective of the project is to provide high level policy advice to the Republic of Moldova in the overall implementation of the Government Programme “European Integration: Freedom, Democracy, Welfare” 2009-2013, with particular focus on the EU integration agenda, economic recovery and reforms.","The overall objective of the project is to provide high level policy advice to the Republic of Moldova in the overall implementation of the Government Programme “European Integration: Freedom, Democracy, Welfare” 2009-2013, with particular focus on the EU integration agenda, economic recovery and reforms. The support will be given through to the main institutions including the Prime Minister’s Office, the Ministries of Justice, Economy, Finance, Interior, as well as the Customs Service and support them in their efforts of designing, implementing and monitoring relevant policies and measures. The project will employ a team of international high level experts in key areas to act as advisers to the Government office, line ministries and other institutions.",15/01/2010,31/12/2015,Grant,150 - GOVERNMENT AND CIVIL SOCIETY,0,0,0,6600000,0,0,0,0,6600000
