Project Title,Municipality,Donor Agency,OECD/DAC Sector,Implementing Agency,Beneficiary Agency,2008 Actual Commitments,2008 Actual Disbursements,2009 Actual Commitments,2009 Actual Disbursements,2010 Actual Commitments,2010Actual Disbursements,Total Actual Commitments,Total Actual Disbursements
  PriForum and PriCritic workshops 2012,Pristina,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
"  Inclusion, integration and development of children with disabilities",Pristina,Finland,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,Qendra Rehabilituese Shtëpia e Bletëve - Rehabilitation Centre Bee House,N/A Beneficiary Organization,75947.85,61372,66734.492,67983.2,0,0,142682.342,129355.2
  Post harvest technology for lettuce,Mitrovica,Norway,311 - AGRICULTURE, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Visit trip to Decani and Peja Monastery,Gracanica,Norway,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Support to disability sector in Kosovo; advocacy and service provision, ,Finland,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,Handikos “Association of paraplegics and children paralyses”,N/A Beneficiary Organization,233595,233595,184506,200116,185402,184566,603503,618277
  Youth Forum for Euro-Atlantic Integration,Pristina,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
"  ""Surprised body project"" praticipating in a dance festival in Albania", ,Norway,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Promoting democracy through the red thread of education,Mitrovica,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Radio programmes for improved farming practices, ,Norway,311 - AGRICULTURE, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Purchase of sports equipment for the Serbian community football club.,Gjilan,Norway,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Skena Up Festival Special Programmes for Balkan reconnection through art,Pristina,Norway,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,Skena Up,0,0,0,0,0,0,0,0
  Enhance life conditions for 12 minority families through bee keeping,Peja,Norway,311 - AGRICULTURE, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  KPC Resettlement Programme, ,Finland," - 150 - GOVERNMENT AND CIVIL SOCIETY
 - 160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES",UNDCO / UNKT,Kosovo Protection Corps,678300,633900,0,0,0,0,678300,633900
  Regional cultural cooperation, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Peace keepers' small projects in Kosovo / CIMIC / Support to small business enterprises," - Fushe Kosova
 - Gllogovc
 - Gracanica
 - Lipjan
 - Obiliq
 - Podujeva
 - Pristina",Finland," - 250 - BUSINESS AND OTHER SERVICES
 - 400 - MULTISECTOR/CROSS-CUTTING",KFOR Finnish Troops CIMIC," - Municipality of Fushe Kosova
 - Municipality of Gllogovc
 - Municipality of Gracanica
 - Municipality of Lipjan
 - Municipality of Obiliq
 - Municipality of Podujeva
 - Municipality of Prishtina",0,0,1638840,480657.868,0,547080,1638840,1027737.868
  Agriculture Development / Social Development Programme in Kosovo," - Leposaviq
 - Mitrovica
 - North Mitrovica
 - Skenderaj
 - Vushtrria
 - Zubin Potok
 - Zvecan",Finland," - 150 - GOVERNMENT AND CIVIL SOCIETY
 - 311 - AGRICULTURE",Finn Church Aid,N/A Beneficiary Organization,1701360,542640,0,428820,0,578710,1701360,1550170
  TV Studio and equipment for independent minority media, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,Radio KIM,0,0,0,0,0,0,0,0
  IMPROVEMENT OF PEDAGOGICAL SKILLS OF VET TEACHERS AND LEADERSHIP, ,Finland,110 - EDUCATION,Jyväskylä University of Applied Sciences,"University of Pristina ""Hasan Pristina""",0,0,0,0,0,0,0,0
  Support to Local Public Safety Committe in Prizren,Prizren,Norway,400 - MULTISECTOR/CROSS-CUTTING, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Helping small scale farmers to create commercial farms,Gracanica,Norway,311 - AGRICULTURE, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Development of inclusive education, ,Finland,110 - EDUCATION,"JYU University of Jyvaskyla, Finland","Ministry of Education, Science and Technology",0,0,279004.333,245458.818,369441,366139.958,648445.333,611598.777
  Support to Serbian community - FK Pasjane 011,Gjilan,Norway,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Renovation of the palace of culture and elementary school,Decan,Norway,110 - EDUCATION, ,Municipality of Decan,0,0,0,0,0,0,0,0
  Integration and recreational training of communities," - Gracanica
 - Pristina",Norway,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Market liberalization support in Kosovo, ,Norway,230 - ENERGY GENERATION AND SUPPLY, ,Crimson Capital Corporation,0,0,0,0,0,0,0,0
  CS Income generation," - Fushe Kosova
 - Gracanica",Norway,311 - AGRICULTURE, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  ED - Local business support,Pristina,Norway,321 - INDUSTRY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  GE - TV program support, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  CS - Education, ,Norway,110 - EDUCATION, ,"Ministry of Education, Science and Technology",0,0,0,0,0,0,0,0
  Training on Energy Efficiency at vocational schools," - Ferizaj
 - Gjakova
 - Gjilan
 - Malisheva
 - Mitrovica
 - Pristina
 - Prizren
 - Skenderaj",Norway,110 - EDUCATION, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Education support for youth,Peja,Norway,110 - EDUCATION, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  CS - Support to minority media,Pristina,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,Media Centre (Medija Centar) Caglavica/Cagllavice,0,0,0,0,0,0,0,0
  School supplies in and around Prishtina,Pristina,Norway,110 - EDUCATION, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  CS - Supply of concentrated animal food 2012,Prizren,Norway,311 - AGRICULTURE, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  E-counselling for youth 2012, ,Norway,120 - HEALTH, ,The Foundation Together,0,0,0,0,0,0,0,0
  Support to education and entrepreneurship, ,Norway,321 - INDUSTRY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  CS - Infrastructure in Janjevo,Lipjan,Norway,210 - TRANSPORT AND STORAGE, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  CS - Croatian community,Lipjan,Norway,323 - CONSTRUCTION, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Refurbishment of Life Long Learning building,Lipjan,Norway,110 - EDUCATION, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Pedagogical training for proffessors,Lipjan,Norway,110 - EDUCATION, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Center for the Protection of Women and Children,Mitrovica,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,11966.94,0,0,11604.06,11966.94,11604.06
  Women's Wellness Center,Peja,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,13323.18,13323.18,13323.18,13323.18
  Election debates, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,Balkan Investigative Reporting Network,0,0,0,0,14030,14326,14030,14326
  Farmhouse,Kamenica,Norway,311 - AGRICULTURE, ,N/A Beneficiary Organization,0,0,0,0,10232.25,10744.5,10232.25,10744.5
  Support for Norwegian exchange students in Kosovo, ,Norway,110 - EDUCATION, ,N/A Beneficiary Organization,0,0,0,0,1962.662,1962.662,1962.662,1962.662
  KUMT Consulting, ,Norway,400 - MULTISECTOR/CROSS-CUTTING, ,N/A Beneficiary Organization,0,0,0,0,6813,841.989,6813,841.989
  Support for activities, ,Norway,998 - UNALLOCATED/ UNSPECIFIED, ,N/A Beneficiary Organization,0,0,0,0,13569,14326,13569,14326
  Prishtina Insight 2012,Pristina,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,Balkan Investigative Reporting Network,0,0,0,0,12483.48,13179.92,12483.48,13179.92
  Purchase of cow and cutlet for impoverished family, ,Norway,998 - UNALLOCATED/ UNSPECIFIED, ,N/A Beneficiary Organization,0,0,0,0,1358.4,1432.6,1358.4,1432.6
  Lawful Interception in Kosovo -Norwegian Institute of International Affairs, ,Norway,400 - MULTISECTOR/CROSS-CUTTING, ,Norwegian Institute of International Affairs,0,0,0,0,5597.212,5909.475,5597.212,5909.475
  Winter Tyres for Truck Carrying Humanitarian Aid,Prizren,Norway,400 - MULTISECTOR/CROSS-CUTTING, ,N/A Beneficiary Organization,0,0,0,0,3040.099,3206.158,3040.099,3206.158
  Regional Library of Gjakova,Gjakova,Norway,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,0,0,4612.995,5154.494,4612.995,5154.494
  Kosovo’s Statehood - Two Years Later, ,Norway,400 - MULTISECTOR/CROSS-CUTTING, ,Kosovar Institute for Policy Research and Development,0,0,0,0,14182.74,14182.74,14182.74,14182.74
  Continuation of support for after-school RAE classes," - Fushe Kosova
 - Gracanica
 - Shtime",Norway,110 - EDUCATION, ,Balkan Sunflowers Kosova,0,0,0,0,13.327,14.326,13.327,14.326
  Printer (embrosser) for the blind monks,Prizren,Norway,998 - UNALLOCATED/ UNSPECIFIED, ,Visoki Decani Monastery,0,0,0,0,4584.32,4584.32,4584.32,4584.32
  Visiting Program -Youth Initiative for Human Rights, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,Youth Initiative for Human Rights,0,0,0,0,1.131,10.73,1.131,10.73
  Strengthening good gooverancen through citizen participatin in decision making, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,Kosova Democratic Institute,0,0,0,0,14302.749,16855.971,14302.749,16855.971
  Improving shelter facilities to help handicapped children, ,Norway,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,0,0,9724.8,1.208,9724.8,1.208
  EU Progress Report Simulation (Report & Conference), ,Norway,400 - MULTISECTOR/CROSS-CUTTING, ,N/A Beneficiary Organization,0,0,0,0,7112.859,7112.859,7112.859,7112.859
  Pristhina Collective Memories,Pristina,Norway,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,0,0,3593.7,4297.8,3593.7,4297.8
  DokuKids,Prizren,Norway,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,Dokufest - International Documentary and Short Film Festival,0,0,0,0,4007,5740.428,4007,5740.428
  Study Support, ,Norway,110 - EDUCATION, ,N/A Beneficiary Organization,0,0,0,0,7020.2,7879.3,7020.2,7879.3
  Andon Zako Cajupi,Mitrovica,Norway,110 - EDUCATION, ,N/A Beneficiary Organization,0,0,0,0,7658.4,8595.6,7658.4,8595.6
  Summer School Program, ,Norway,110 - EDUCATION, ,N/A Beneficiary Organization,0,0,0,0,8907.5,10028.2,8907.5,10028.2
  Piano School, ,Norway,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,0,0,500,86.487,500,86.487
  Shoshe,Pristina,Norway,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,0,0,1305.6,1432.6,1305.6,1432.6
  SKENA-UP FESTIVAL,Pristina,Norway,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,Skena Up,0,0,0,0,4760.7,5014.1,4760.7,5014.1
  Are you there?” performance at the 8th annual SKENA UP International Student Film and Theatre Festival,Pristina,Norway,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,0,0,986.797,1038.635,986.797,1038.635
"  QENDRA KOSOVARE PER STREHIMIN DHE   TRAJNIMIN E QENEVE ENDACAK, PRISHTINA",Pristina,Norway,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,0,0,9527.7,10028.2,9527.7,10028.2
  Increasing voter turnout, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,13032.999,14326,13032.999,14326
  Drawing supplies, ,Norway,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,0,0,195.494,214.89,195.494,214.89
"  School Library: ""Bunateka 1""",Prizren,Norway,110 - EDUCATION, ,N/A Beneficiary Organization,0,0,22376.994,22376.994,0,0,22376.994,22376.994
  Concert for K-Serb community in Gorazdevac,Prizren,Norway,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,785.64,819.42,0,0,785.64,819.42
  Repair of roof-top in Prishtina church,Pristina,Norway,998 - UNALLOCATED/ UNSPECIFIED, ,Visoki Decani Monastery,0,0,10475.199,10925.599,0,0,10475.199,10925.599
  Prishtina Insight 2009,Pristina,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,Balkan Investigative Reporting Network,0,0,11856.04,12564.439,0,0,11856.04,12564.439
  International Student Festival in Trondheim,Pristina,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,576.136,600.908,0,0,576.136,600.908
  Community Radio Program Support 2009, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,Radio KIM,0,0,10386.922,11007.542,0,0,10386.922,11007.542
  Support to Humanitarian Activities of Visoki Decani Monastery,Prizren,Norway,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,Visoki Decani Monastery,0,0,7732.2,8194.199,0,0,7732.2,8194.199
  KUMT CONSULTING 2009, ,Norway,400 - MULTISECTOR/CROSS-CUTTING, ,N/A Beneficiary Organization,0,0,7564.83,6965.07,0,0,7564.83,6965.07
  RAE Education Centers," - Fushe Kosova
 - Gracanica
 - Shtime",Norway,110 - EDUCATION, ,Balkan Sunflowers Kosova,0,0,13657,13657,0,0,13657,13657
"  Verimi ne Dimer” (Summering in Winter),", ,Norway,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,1515.585,1570.554,0,0,1515.585,1570.554
  Prishtina Insight #2 2009,Pristina,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,Balkan Investigative Reporting Network,0,0,11856.04,12564.439,0,0,11856.04,12564.439
  Freedom Festival,Pristina,Norway,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,4060.8,4097.099,0,0,4060.8,4097.099
  EDWARD TAWIL,Skenderaj,Norway,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,812.16,819.42,0,0,812.16,819.42
"  School Library: ""Bunateka 2""", ,Norway,110 - EDUCATION, ,N/A Beneficiary Organization,0,0,25172.374,24945.876,0,0,25172.374,24945.876
  Kosovo’s Atlantic Treaty Association in the Danish Atlantic Youth Seminar, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,1325.732,962,0,0,1325.732,962
  UNI GROUP,Pristina,Norway,250 - BUSINESS AND OTHER SERVICES, ,N/A Beneficiary Organization,0,0,6201.45,6145.65,0,0,6201.45,6145.65
  RADIO KIM, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,Radio KIM,0,0,10148.74,9696.47,0,0,10148.74,9696.47
  Building partnership for school development,Ferizaj,Norway,110 - EDUCATION, ,N/A Beneficiary Organization,0,0,0,9491.615,0,0,0,9491.615
  Kosovo Memory Book, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,Humanitarian Law Centre,0,0,11435.2,10925.599,0,0,11435.2,10925.599
  Concert for in Staro Gracko,Lipjan,Norway,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,857.64,87.047,0,0,857.64,87.047
  Political and Economic Reports for Embassy, ,Norway,400 - MULTISECTOR/CROSS-CUTTING, ,N/A Beneficiary Organization,0,0,0,5100,0,0,0,5100
  7th annual Skena-UP International Student Film and Theatre Festival,Pristina,Norway,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,Skena Up,0,0,7491,6828.5,0,0,7491,6828.5
  Alternative Dispute Mechanisms.,Pristina,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,7432,6828.5,0,0,7432,6828.5
  Summer Business Internship,North Mitrovica,Embassy of Netherlands,110 - EDUCATION, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Increasing Capacity of Legal Professionals, ,United States Agency for International Development,150 - GOVERNMENT AND CIVIL SOCIETY,United States Agency for International Development,N/A Beneficiary Organization,1400000,786762,1200000,1073873,400000,974855,3000000,2835490
  Efficient and Sustainability Tax Administration of Kosovo, ,United States Agency for International Development,150 - GOVERNMENT AND CIVIL SOCIETY,United States Agency for International Development,N/A Beneficiary Organization,0,0,0,0,3000000,1188542,3000000,1188542
  KEK Network and Supply Project, ,United States Agency for International Development,230 - ENERGY GENERATION AND SUPPLY,United States Agency for International Development,N/A Beneficiary Organization,5600000,3521405,5401680,3847876,8600000,4749501,19601680,12118782
  FOL Movement, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Together we can do it,Rahovec,Embassy of Netherlands,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  KFK Kaçanikasja,Kacanik,Norway,998 - UNALLOCATED/ UNSPECIFIED, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Development Assistance to  Farmers in Remote Areas of Montenegro and Kosovo - Phase II (GCP/RER/019/LUX) (subregional project)," - Decan
 - Dragash
 - Gjakova
 - Istog
 - Peja
 - Prizren",Luxembourg,311 - AGRICULTURE,Food and Agriculture Organization,"Ministry for Agriculture, Forestry and Rural Development",0,0,0,0,1169876,1169876,1169876,1169876
  Technical Support for Human Resources Development of Agricultural Advisory Services, ,Food and Agriculture Organization,311 - AGRICULTURE,Food and Agriculture Organization,"Ministry for Agriculture, Forestry and Rural Development",0,0,9374,9374,0,0,9374,9374
  Sustainable Employment Development Policy Program, ,United States Agency for International Development,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,United States Agency for International Development,N/A Beneficiary Organization,3000000,0,0,0,0,0,3000000,0
  Higher Education Partnership program with the University of Pristina Faculty of Engineering and Computer Sciences-University of Pittsburgh, ,United States Agency for International Development,110 - EDUCATION,United States Agency for International Development,N/A Beneficiary Organization,450000,0,0,0,0,0,450000,0
  Small Infrastructure for Education in Kosovo, ,United States Agency for International Development,110 - EDUCATION,United States Agency for International Development,N/A Beneficiary Organization,4968073,3935,0,2774613,0,2186579,4968073,4965127
  Mediation projec, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  School trip for disabled children,Prizren,Norway,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Summer Urban Festival 2011,Pristina,Norway,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Commemoration of 150th birthday of Fridtjof Nansen,Pristina,Norway,998 - UNALLOCATED/ UNSPECIFIED, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
"  The Forum of Cities and Juries in Oslo from November 3-6, 2011", ,Norway," - 110 - EDUCATION
 - 160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES", ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Let’s Do It Kosova -Cleanup 2012, ,Norway,400 - MULTISECTOR/CROSS-CUTTING, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Civil Society Strengthening Program, ,United States Agency for International Development,150 - GOVERNMENT AND CIVIL SOCIETY,United States Agency for International Development,N/A Beneficiary Organization,723792,1010,1776179,1324290,440029,1762100,2940000,3087400
  Effective Municipal Initiative, ,United States Agency for International Development,150 - GOVERNMENT AND CIVIL SOCIETY,United States Agency for International Development,N/A Beneficiary Organization,4850000,2212856,3000000,2250731,272856,5218184,8122856,9681771
  The Bridge to integration and independence of children with Autism,Pristina,Embassy of Netherlands,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Kosovo Activity to Support Schools," - Leposaviq
 - Zubin Potok
 - Zvecan"," - Government of Kosovo
 - United States Agency for International Development",110 - EDUCATION,United States Agency for International Development,N/A Beneficiary Organization,0,0,6080000,159761,150000,1479767,6230000,1639528
  Cities view of Kosovo, ,France,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES," - France
 - UNIONI I GAZETARËVE TË KOSOVËS",N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Student fall fair, ,France,110 - EDUCATION," - France
 - University of Pristina ""Hasan Pristina""","University of Pristina ""Hasan Pristina""",0,0,2650.31,0,0,1824.62,2650.31,1824.62
  Vocational training in tourism, ,France,110 - EDUCATION,France,N/A Beneficiary Organization,0,0,0,26503.1,33508.65,0,33508.65,26503.1
  support to french teaching in Pristina,Pristina,France,110 - EDUCATION,France,"Ministry of Education, Science and Technology",0,0,0,0,0,4285.44,0,4285.44
  french corner & support to cultural activities in South Mitrovica,Mitrovica,France," - 110 - EDUCATION
 - 160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES",France,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Support to Pristina Youth Center,Pristina,France,150 - GOVERNMENT AND CIVIL SOCIETY,Pristina Youth Center,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Protection of children," - Ferizaj
 - Fushe Kosova
 - Gjakova
 - Mitrovica
 - Peja",France,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,Terre des Hommes," - Municipality of Ferizaj
 - Municipality of Fushe Kosova
 - Municipality of Gjakova
 - Municipality of Mitrovica
 - Municipality of Peja",0,0,0,0,81498,81718.799,81498,81718.799
  Support to the edition sector, ,France,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES," - Buzuku
 - France",N/A Beneficiary Organization,0,0,8595.6,0,0,5356.8,8595.6,5356.8
  Master in public health, ,France,120 - HEALTH," - France
 - National Institute of Public Health of Kosovo",National Institute of Public Health of Kosovo,0,0,0,11604.06,0,0,0,11604.06
"  Support to ""Kosovo architecture foundation""", ,France,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,Kosovo's Architecture Foundation,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
"  Producing of a play ""dans la solitude des champs de Coton"" from Bernard-Marie Koltès",Pristina,France,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,Qendra multimedia,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  French film week, ,France,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES," - Alliance française de Pristina
 - France",N/A Beneficiary Organization,0,0,0,8722.2,8166.6,7819.799,8166.6,16542
  support to IKS,North Mitrovica,France,400 - MULTISECTOR/CROSS-CUTTING,Iniciativa Kosovare Per Stabilitet,N/A Beneficiary Organization,0,0,0,0,25602,27384,25602,27384
  IPA 2009 - Establishment of a Broadcasting Monitoring System, ,European Union Office,220 - COMMUNICATION,Jolix,N/A Beneficiary Organization,0,0,0,0,963778.112,612926.156,963778.112,612926.156
  IPA 2008 II - Multi-Donor Trust Fund for the Kosovo Sustainable Employment Development Policy Program (TF 071139), ,European Union Office,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,World Bank,N/A Beneficiary Organization,0,0,0,0,6379500,6805500,6379500,6805500
  EIDHR 2009 - Monitoring of public services and TV debates, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,Balkan Investigative Reporting Network,Civil Society,0,0,0,0,390338.35,158134.266,390338.35,158134.266
  IPA 2009 - Supply and Installation of Equipment for the Air Monitoring System Lot 4, ,European Union Office,400 - MULTISECTOR/CROSS-CUTTING,ALCINA D.O.O.,Ministry of Environment and Spatial Planning,0,0,0,0,0,0,0,0
  IPA 2008 - Extension of Support in preparation of census 2011, ,European Union Office,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,DFC SA,Statistical Office of Kosovo,0,0,0,0,62209.371,0,62209.371,0
  IPA 2008 - Support to the Agnecy for Co-ordination of Development and European Integration (ACDEI), ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,Stichting Roi Voorheen Het Rijks Opleidingsinstituut,Ministry of European Integration,0,0,3573500,952933.809,0,979608.745,3573500,1932542.555
  IPA 2008 - New construction and upgrade of 400 and 110 kV Overhead Transmission Lines - LOT 2, ,European Union Office,230 - ENERGY GENERATION AND SUPPLY,Dalekovodmontaza Doo Tuzla,Ministry of Economic Development,0,0,9049782.572,794699.77,0,2397805.262,9049782.572,3192505.032
  IPA 2008 - Assessment of the performance of the Privatisation Agency of Kosovo (PAK) - I, ,European Union Office,250 - BUSINESS AND OTHER SERVICES,IBF International Consulting SA,Privatization Agency of Kosovo,0,0,0,0,35352.009,0,35352.009,0
"  EIDHR 2007 - Bridging Rights Initiatives in support to Democracy, Good Governance and Equity (BRIDGE)", ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,Syri i Vizionit,Civil Society,99595.832,79676.158,0,0,0,0,99595.832,79676.158
  IPA 2008 - Business Support Centre - Malisheva,Malisheva,European Union Office,250 - BUSINESS AND OTHER SERVICES,Municipality of Malisheva,Municipality of Malisheva,0,0,0,0,230621.255,179980.787,230621.255,179980.787
"  IPA 2009 - Rural Development Grants - Strengthen capacities, quality and competitiveness of Diary Bylmeti", ,European Union Office,311 - AGRICULTURE,NPT Bylmeti,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2009 - Rural Development Grants - Dairy Products for all - Strengthening the Role of the AgroDukagjini Network, ,European Union Office,311 - AGRICULTURE,"Regional Network ""Agrodukagjini""",N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2009 - Technical Assistance to designing the Terms of Reference for IPA 2009 programme to support Further Development of Kosovo's Trade Policy, ,European Union Office,331 - TRADE POLICY AND REGULATIONS AND TRADE-RELATED ADJUSTMENT,DFC SA,N/A Beneficiary Organization,0,0,0,0,29373.221,0,29373.221,0
  IPA 2010 - Support for the continued functioned of the ICO in Kosovo, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,International Civilian Office,International Civilian Office,0,0,0,0,4569600,4585507.5,4569600,4585507.5
  IPA 2007 - TAIEX - Legislation and Policy Advice, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,Deutsche Gesellschaft für Internationale Zusammenarbeit,N/A Beneficiary Organization,7336500,0,0,0,0,0,7336500,0
  IPA 2008 - EKosovo - Development through Biodiversity, ,European Union Office,400 - MULTISECTOR/CROSS-CUTTING,Interkulturelles Zentrum,N/A Beneficiary Organization,0,0,175088.141,62310.643,0,81365.302,175088.141,143675.945
