Project Title,AMP ID,Cris Number,Modalities,Objective,Project Description,Status,Donor Agency,Donor Group,Donor Type,Financing Instrument,Funding Classification Date,Funding Status,Type Of Assistance,Actors,Issues,Measures Taken,Primary Sector,Primary Sector Sub-Sector,Secondary Sector,Secondary Sector Sub-Sector,Responsible Organization,Executing Agency,National Planning Objectives,National Planning Objectives Level 1,National Planning Objectives Level 2,National Planning Objectives Level 3,National Planning Objectives Level 4,National Planning Objectives Level 5,National Planning Objectives Level 6,National Planning Objectives Level 7,National Planning Objectives Level 8,Primary Program,Primary Program Level 1,Primary Program Level 2,Primary Program Level 3,Description,Secondary Program,Secondary Program Level 1,Secondary Program Level 8,Financial Instrument,FY,Ministry Code,On/Off/Treasury Budget,Project Code,Donor Observations,Line Ministries Observations,Actual Approval Date,Actual Closed Date,Actual Start Date,Proposed Completion Date,Proposed Project Life,Proposed Start Date,Departement,Implementation Level,District,Region,Proposed Project Amount,2011 Planned Commitments,2011 Actual Commitments,2011 Actual Disbursements,2011 Planned Disbursements,2011 Planned Expenditures,2011 Actual Expenditures,2012 Planned Commitments,2012 Actual Commitments,2012 Actual Disbursements,2012 Planned Disbursements,2012 Planned Expenditures,2012 Actual Expenditures,2013 Planned Commitments,2013 Actual Commitments,2013 Actual Disbursements,2013 Planned Disbursements,2013 Planned Expenditures,2013 Actual Expenditures,2014 Planned Commitments,2014 Actual Commitments,2014 Actual Disbursements,2014 Planned Disbursements,2014 Planned Expenditures,2014 Actual Expenditures,Planned Commitments,Actual Commitments,Actual Disbursements,Planned Disbursements,Planned Expenditures,Actual Expenditures
  Mesures d'accompagnement 2008 en faveur des pays signataires du protocole sur le sucre- Cote d'Ivoire,cmrx_0223,,Totally acquired,"Promouvoir la viabilite du secteur sucrier ivoirien, sa bonne gestion environnementale et sociale et d'assurer sa contribution au developpement socio-economique de la Cote d’Ivoire.",Composante 1. Contribution a l&#39;amelioration de la Productivite de l&#39;Industrie Sucriere  Composante 2. Appui aux plantations villageoises et aux habitants des complexes sucriers  Composante 3. Amelioration du Cadre Macro-economique et Renforcement du dispositif Institutionnel,Ongoing,UE Ligne Budgetaire,Commission Europeennne,Multilateral,Don projet,03/03/2009,Ongoing,Don financier, , , ,04 - AFFAIRES ECONOMIQUES,"042 - Agriculture, sylviculture, peche, et chasse",300 - SECTEURS DE LA PRODUCTION,311 - AGRICULTURE,Ministere de l’Agriculture, ,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Secteurs Strategiques,Agriculture, , , , , , , , , , , , , , ,,,Off Budget, , , ,03/03/2009,,03/03/2009,25/06/2016,,03/03/2009," - BOROTOU
 - FERKESSEDOUGOU
 - ZOUENOULA",Sous-Prefecture Level," - BAFING
 - MARAHOUE
 - TCHOLOGO"," - FERKESSEDOUGOU
 - KORO
 - ZOUENOULA",2827999.999,0,0,508807.599,762999.999,0,0,0,0,1112347.599,1367998.94,0,0,0,0,532746.199,532746.199,0,0,0,0,216038.093,218756.93,0,0,0,2827999.999,2670106.493,3424328.46,0,0
  Contribution a l'amelioration de la securite alimentaire dans la region des Montagnes en Cote d'Ivoire a travers l'appui a 5 cooperatives,112007133712,,Totally acquired,Amelioration de la securite alimentaire,Composante 1: Appui aux producteurs de riz  Composante 2: Appui pour l&#39;amenagement des bas-fonds  Composante 3: Appui pou l&#39;alphabetisation et la cohesion sociale,Ongoing,Agence Francaise de Developpement,Cooperation France,Bilateral,Don projet,06/09/2012,Ongoing,Don financier, , , ,04 - AFFAIRES ECONOMIQUES,"042 - Agriculture, sylviculture, peche, et chasse",300 - SECTEURS DE LA PRODUCTION,311 - AGRICULTURE,Ministere de l’Agriculture,Secours Catholique,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Secteurs Strategiques,Agriculture, , , , , ,OBJECTIF 1 - Reduction de l'extreme pauvrete et de la faim,OBJECTIF 1 - Reduction de l'extreme pauvrete et de la faim, , , , , , , ,,,Off Budget, , , ,06/09/2012,31/08/2015,30/09/2012,,,30/09/2012, ,National, , , ,0,0,0,0,0,0,0,718200,370999.999,370999.999,0,0,0,0,0,0,0,0,0,0,162776.25,185499.999,0,0,0,718200,533776.25,700542.759,0,0
  Favoriser l'insertion des organisations professionnelles agricoles d'anacarde dans le commerce international - Multipays,112007133710,,Totally acquired,"Amelioration du revenu des producteurs par une meilleure gestion des risques de commercialisation, dans un context international marque par l'instabilite des prix agricoles et l'augmentation de la demande internationale",Composante 1: Appui a l&#39;amelioration du revenu des producteurs   omposante 2: Appui aux Organisations Professionnelles Agricoles,Ongoing,Agence Francaise de Developpement,Cooperation France,Bilateral,Don projet,14/11/2011,Ongoing,Don financier, , , ,04 - AFFAIRES ECONOMIQUES,"042 - Agriculture, sylviculture, peche, et chasse",300 - SECTEURS DE LA PRODUCTION,311 - AGRICULTURE,Ministere de l’Agriculture,RONGEAD,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Secteurs Strategiques,Agriculture, , , , , , , , , , , , , , ,,,Off Budget,CCI1337,"Le projet prendra fin en juillet 2015, pas de nouveau decaissements prevus en 2015.", ,14/11/2011,31/07/2015,20/01/2012,,,20/01/2012, ,National, , , ,0,688380,0,0,0,0,0,0,363412.138,363412.138,0,0,0,0,177138.914,177138.914,0,0,0,0,131832.166,147822.619,0,0,0,688380,672383.219,688373.673,0,0
  Promotion d'entreprises de service pour les riziculteurs ivoiriens,112007133711,,Totally acquired,Amelioration de la securite alimentaire grâce a l'augmentation de la production de riz,Composante 1: Appui a la filiere riz  Composante 2: Appui a la strategie nationale de developpement de la Cöte d&#39;Ivoire  Composante 3: Appui a la Federation Nationale des Riziculteurs de Cote d&#39;Ivoire et des ses membres,Ongoing,Agence Francaise de Developpement,Cooperation France,Bilateral,Don projet,17/02/2012,Ongoing,Don financier, , , ,04 - AFFAIRES ECONOMIQUES,"042 - Agriculture, sylviculture, peche, et chasse",300 - SECTEURS DE LA PRODUCTION,311 - AGRICULTURE,Ministere de l’Agriculture,Centre International de Developpement et de Recherche,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Secteurs Strategiques,Agriculture, , , , , ,OBJECTIF 1 - Reduction de l'extreme pauvrete et de la faim,OBJECTIF 1 - Reduction de l'extreme pauvrete et de la faim, , , , , , , ,,,Off Budget, , , ,17/02/2012,30/06/2015,31/12/2012,,,31/12/2012, ,District Level," - AGNEBY-TIASSA
 - BELIER
 - CAVALLY
 - GBOKLE
 - GRANDS PONTS
 - GUEMON
 - HAUT-SASSANDRA
 - IFFOU
 - MARAHOUE
 - ME
 - MORONOU
 - N'ZI
 - NAWA
 - SAN-PEDRO
 - SUD COMOE
 - TONKPI", , ,0,0,0,0,0,0,0,1002749.999,446315.184,446315.184,0,0,0,0,0,0,0,0,0,0,0,165971.109,0,0,0,1002749.999,446315.184,774393.034,0,0
  Projet C2D-Programme d'Appui a la Relance des Filieres Agricoles de Cote d'Ivoire - 2eme Tranche (PARFACI II),112007141854,,Totally acquired,Redynamiser les secteur agricole et lutter contre la pauvrete en milieu rural,Composante 1: Rehabilitation de barrages hydro-agricoles     Composante 2: Construction de 6 centres semencier (Projet riz / ONDR),Awaiting implementation,Agence Française de Developpement_C2D 2,Cooperation France,Bilateral,Don projet,31/10/2014,Awaiting implementation,Subvention, , , ,04 - AFFAIRES ECONOMIQUES,"042 - Agriculture, sylviculture, peche, et chasse",300 - SECTEURS DE LA PRODUCTION,311 - AGRICULTURE,Ministere de l’Agriculture, ,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Secteurs Strategiques,Agriculture,"Les filieres agricoles, halieutiques et animales sont developpees", , , , , , , , , , , , , ,,,Off Budget,xxxx,Ce projet est maintenant prevu pour etre finance sur le C2D n°2.,Le projet n'a pas encore demarre.,03/12/2014,,,,,," - AGBOVILLE
 - BONDOUKOU
 - BOUNDIALI
 - GAGNOA
 - KORHOGO
 - MAN
 - YAMOUSSOKRO",Sous-Prefecture Level," - AGNEBY-TIASSA
 - BAGOUE
 - BELIER
 - GONTOUGO
 - GoH
 - PORO
 - TONKPI"," - AGBOVILLE
 - BONDOUKOU
 - BOUNDIALI
 - GAGNOA
 - KORHOGO
 - MAN
 - YAMOUSSOKRO", ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46630200,0,0,0,0,0,46630200,0,0,0,0,0
  Projet C2D - Programme d'Appui de Relance des Filieres Agricoles de Cote d'Ivoire- 1ere Tranche(PARFACI I),112007141840,,Totally acquired,"Mise en œuvre de la loi sur le foncier rural : delimitation des territoires villageois ; delivrance de certificats fonciers et enregistrement des baux dans quinze departements. Soutien aux filieres vivrieres (mais, soja, maraîchage, porc et pisciculture) dans les etapes de production, de commercialisation et de structuration. Appui institutionnel pour le renforcement des capacites de pilotage et strategiques des ministeres de l'Agriculture et des ressources animales et halieutiques",Composante 1 : Appui a la mise en oeuvre de la loi sur le foncier rural   Composante 2 : appui aux filieres vivireres   Composante 3 : Appui institutionnel,Ongoing,Agence Française de Developpement_C2D 1,Cooperation France,Bilateral," - Appui Budgetaire Sectoriel
 - Don projet",22/11/2013," - Closed
 - Ongoing",Subvention, , , ,04 - AFFAIRES ECONOMIQUES,"042 - Agriculture, sylviculture, peche, et chasse",300 - SECTEURS DE LA PRODUCTION,311 - AGRICULTURE,Ministere de l’Agriculture, ,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Secteurs Strategiques,Agriculture,"Les filieres agricoles, halieutiques et animales sont developpees", , , , ,OBJECTIF 1 - Reduction de l'extreme pauvrete et de la faim,OBJECTIF 1 - Reduction de l'extreme pauvrete et de la faim, , , , , , , ,,,On Budget,822910601, ," - 17 840 000 000 FCFA affecte a la composante PSAC ont e et soustrait du montant de la convention de 41 030 110 350 FCFA puis inscrit au niveau du projet PSAC cofinance avec la BM
 - PROJET EN PHASE DE DeMARRAGE.L'EQUIPE DE PROJET A ETE DeJa RECRUTE PRENDRA FONCTION DANS LES JOURS A VENIR",22/11/2013,31/12/2018,,,3,, ,District Level," - AGNEBY-TIASSA
 - BAFING
 - BAGOUE
 - BELIER
 - GBEKE
 - GONTOUGO
 - HAMBOL
 - IFFOU
 - LoH-DJBOUA
 - N'ZI
 - NAWA
 - PORO
 - SUD COMOE
 - TCHOLOGO", , ,0,0,0,0,0,0,0,0,0,0,0,0,0,48720000,13062000,13062000,0,0,0,0,4019992.696,10080000,0,0,0,48720000,17081992.7,38146260.95,0,0
  FLEX 2008 - Cote d'Ivoire Appui et assistance technique de la FAO a la mise en œuvre du Resensement des Exploitants et Exploitations Agricoles (REEA) GCP/IVC/033/EC,112007172668,,Totally acquired,"Renforcer les capacites techniques et operationnelles de la Direction des Statistiques, de la Documentation et de l'Informatique (DSDI) du Ministere de l'Agriculture. Aider le gouvenement a reorganiser le monde rural, a redefinir et a mieux piloter sa politique agricole et de securite alimentaire sur la bases des donnees statistiques fiables sur la structure de l'agriculture de la Cote d'Ivoire, et contribuer ainsi a la formulation de politiques et strategies adaptees de lutte contre la pauvrete et l'insecurite alimentaire dans le pays.", ,Ongoing,Fonds Europeen pour le Developpement 10,Commission Europeennne,Multilateral,Don projet,06/05/2014,Ongoing,Don financier, , , ,04 - AFFAIRES ECONOMIQUES,"042 - Agriculture, sylviculture, peche, et chasse",300 - SECTEURS DE LA PRODUCTION,311 - AGRICULTURE,Ministere de l’Agriculture,Organisation des Nations Unies pour l'alimentation et l'agriculture,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Secteurs Strategiques,Agriculture, , , , , , , , , , , , , , ,,,Off Budget, , , ,,,06/05/2014,,2,06/05/2014, ,National, , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6937000,6084750.433,6927500,0,0,0,6937000,6084750.433,6927500,0,0
"  Projet d'appui a la production agricole et a la commercialisation - extension dans les Regions Ouest de la Cote d'Ivoire (PROPACOM - extension Ouest) - Pret N°2000000754, Don DSF N°2000000753, Don ASAP N°2000000752",112007135227,0%,Totally acquired,"L'objectif du projet est de contribuer a la reduction de la pauvrete rurale et de stimuler la croissance economique dans les regions du Tonpki, Kabadougou, Folon, Bafing, Worodougou et Bere. L'objectif de developpement du projet est d'ameliorer durablement la securite alimentaire a travers l'acces des petits producteurs a des services de production a des services de production efficace a des technologies appropriees et aux marches, tout en assurant leur resilience au changement climatique.","Composante 1: Amelioration durable de la production agricole   Composante 2: Valorisation et mise a marche des produits agricoles   Composante 3: Coordination, suivi-evaluation et gestion des avoirs",Ongoing," - Etat
 - Fonds Fiduciaire du Programme d'Adaptation de l'Agriculture Paysanne
 - Fonds International pour le Developpement Agricole"," - Systeme des Nations Unies
 - etat"," - Multilateral
 - etat"," - Don projet
 - Pret projet concessionnel
 - Ressources Internes",21/11/2014,Ongoing," - Don financier
 - Etat Contrepartie
 - Pret", , , ,04 - AFFAIRES ECONOMIQUES,"042 - Agriculture, sylviculture, peche, et chasse",300 - SECTEURS DE LA PRODUCTION,311 - AGRICULTURE,Ministere de l’Agriculture, ,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Secteurs Strategiques,Agriculture, , , , , ,OBJECTIF 1 - Reduction de l'extreme pauvrete et de la faim,OBJECTIF 1 - Reduction de l'extreme pauvrete et de la faim, , , , , , , ,,,On Budget,819990190, ,,21/11/2014,30/06/2021,,,,21/11/2014, ,District Level," - BAFING
 - BERE
 - FOLON
 - KABADOUGOU
 - TONKPI
 - WORODOUGOU", , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44833546.82,0,0,0,0,0,44833546.82,0,0,0,0
  Enquete sur l'insecurite alimentaire aigüe et la vulnerabilite a l'Ouest et au Nord de la Cote d'Ivoire - FAO,112007172676,,Totally acquired, , ,Closed,Organisation des Nations Unies pour l'alimentation et l'agriculture,Systeme des Nations Unies,Multilateral,Don projet,27/04/2013,Closed,Don financier, , , ,04 - AFFAIRES ECONOMIQUES,"042 - Agriculture, sylviculture, peche, et chasse",100 - INFRASTRUCTURE ET SERVICES SOCIAUX,122 - SANTE DE BASE,Ministere de l’Agriculture, ,RESULTAT1 : LES POPULATIONS VIVENT EN HARMONIE DANS UNE SOCIETE SECURISEE DANS LAQUELLE LA BONNE GOUVERNANCE EST ASSUREE,RESULTAT1 : LES POPULATIONS VIVENT EN HARMONIE DANS UNE SOCIETE SECURISEE DANS LAQUELLE LA BONNE GOUVERNANCE EST ASSUREE,Statistiques, , , , , , , , , , , , , , , ,,,Off Budget, , ,Enquete realisee par l'INS.,27/04/2013,,,,,, ,Region Level," - BAGOUE
 - BOUKANI
 - PORO
 - TCHOLOGO
 - TONKPI
 - WORODOUGOU"," - BOUNA
 - BOUNDIALI
 - FERKESSEDOUGOU
 - KORHOGO
 - MAN
 - SEGUELA", ,0,0,0,0,0,0,0,0,0,0,0,0,0,53299.259,27300,27300,0,0,0,0,0,0,0,0,0,53299.259,27300,27300,0,0
  Enquete sur l'insecurite alimentaire aigüe et la vunerabilite a l'Ouest et au Nord de la Cote d'Ivoire,cmrx_0263,100%,Totally acquired, , ,Closed,Organisation des Nations Unies pour l'alimentation et l'agriculture,Systeme des Nations Unies,Multilateral,Don projet,27/04/2013,Closed,Don financier, , , ,04 - AFFAIRES ECONOMIQUES,"042 - Agriculture, sylviculture, peche, et chasse",300 - SECTEURS DE LA PRODUCTION,311 - AGRICULTURE,Ministere de l’Agriculture,Organisation des Nations Unies pour l'alimentation et l'agriculture,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Secteurs Strategiques,Agriculture, , , , , ,OBJECTIF 1 - Reduction de l'extreme pauvrete et de la faim,OBJECTIF 1 - Reduction de l'extreme pauvrete et de la faim, , , , , , , ,,,Off Budget, , ,etude mise en œuvre par l'Institut National de la Statistique (INS),27/04/2013,,,,,, ,District Level," - BOUKANI
 - CAVALLY
 - GUEMON
 - KABADOUGOU
 - PORO
 - TCHOLOGO
 - TONKPI", ,53299.259,0,0,0,0,0,0,0,0,0,0,0,0,0,53299.259,26670,26670,0,0,0,0,0,0,0,0,0,53299.259,26670,26670,0,0
  Appui a la Gouvernance Universitaire et a la Reforme de l'Enseignement Superieur (AGURES),cmrx_0347,,Totally acquired,Amelioration de la gouvernance universitaire et appui a la mise en place du LMD,"Composante 1: Restructuration du systeme de scolarite des Universites publiques,   Composante 2: Appui a la consolidation du systeme LMD dans les etablissements publics et prives d&#39;enseignement superieur et Professionnalisation de l&#39;offre de formation universitaire,   Composante 3: Gestion et fonctionnement du projet",Ongoing,Ambassade France,Cooperation France,Bilateral,Don projet,22/06/2012,Ongoing,Don financier, ,"Personnel de soutien (Secretaire) toujours pas mis a la disposition du Chef du projet par la partie ivoirienne, il s’agit d’un volet relatif a la contre-partie ivoirienne a la mise en œuvre du projet AGURES.", ,09 - ENSEIGNEMENT,094 - Enseignement superieur,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,114 - EDUCATION POST SECONDAIRE,Ministere de l’Enseignement Superieur et de la Recherche Scientifique, ,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","Recherche Scientifique, Innovation et Transfert de Competences",Enseignement Superieur,"La gestion du secteur de l'enseignement superieur est participative, transparente et efficace", , , , , , , , , , , , , ,,,Off Budget, , , ,22/06/2012,21/06/2015,22/06/2012,21/06/2015,36,22/06/2012, ,Region Level," - ABIDJAN
 - BELIER
 - GBEKE"," - ABIDJAN
 - BOUAKE
 - YAMOUSSOKRO",1377600,0,0,0,0,0,0,0,1377600,0,0,0,0,0,0,723791.039,723791.039,0,0,0,0,700071.167,784985.611,0,0,0,1377600,1423862.207,1508776.651,0,0
  Programme de preservation des forets,cmrx_0188,,Totally acquired,"Assurer l'integrite, la protection et la valorisation des parcs et reserves de la Cote-d’Ivoire",Composante 1- Renforcement de la securite du Parc national du Banco ;    Composante 2- Renforcement des capacites logistiques de l&#39;OIPR,Ongoing,Ambassade Japon,Cooperation Japon,Bilateral,Don projet,19/04/2010,Ongoing,Don financier, ,Lenteur dans l'execution des etudes confiees au BNETD, ,05 - PROTECTION DE L'ENVIRONNEMENT, ,400 - DESTINATION PLURI-SECTO-RIELLE OU TRANSVERSALE,410 - PROTECTION DE L'ENVIRONNEMENT GENERAL,"Ministere de l’Environnement, de la Salubrite Urbaine et du Developpement Durable", ,RESULTAT4 : LES POPULATIONS VIVENT DANS UN ENVIRONNEMENT SAIN ET UN CADRE DE VIE ADEQUAT,RESULTAT4 : LES POPULATIONS VIVENT DANS UN ENVIRONNEMENT SAIN ET UN CADRE DE VIE ADEQUAT,"Environnement, Eaux et Forets",Environnement et Developpement durable,"La gestion du secteur de l'environnement et du developpement durable est participative, transparente et efficace", , , , ,OBJECTIF 7 - Assurer un environnement durable,OBJECTIF 7 - Assurer un environnement durable, , , , , , , ,,,Off Budget, , ,Les equipements ont ete entierement acquis. Il reste la construction de la cloture.lenteur dans l'execution des etudes confiees au BNETD,19/04/2010,31/12/2014,01/05/2010,31/12/2013,,01/05/2010,ABIDJAN,Sous-Prefecture Level,ABIDJAN,ABIDJAN,7401315.789,0,0,0,0,0,0,0,0,4623990,4623990,0,0,0,0,1449000,1449000,0,0,0,0,0,3377051.273,0,0,0,7401315.789,6072990,9450041.273,0,0
  Rehabilitation de la base energetique du CNRA,11200713752,,Funding Search,Renforcer les capacites techniques de la base energetique d'Anguedougou en vue de la formation des operateurs de la filiere charbon de bois et des autres formes de conversion thermochimiquesde la biomasse, ,Interrupted," - Etat
 - Union economique et Monetaire Ouest Africaine"," - Union economique et Monetaire Ouest Africaine
 - etat"," - Multilateral
 - etat"," - Don projet
 - Ressources Internes",11/08/2009,Cancelled," - Don financier
 - Etat Contrepartie", ,Fin du PRBE depuis 2010. Probleme de ressources financieres pour la mise en oeuvre, ,04 - AFFAIRES ECONOMIQUES,043 - Combustibles et energie,200 - INFRASTRUCTURE ET SERVICES eCONOMIQUES,230 - PRODUCTION ET DISTRIBUTION D’ENERGIE,Ministere du Petrole et de l'Energie, ,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Secteurs Strategiques,energie, , , , , , , , , , , , , , ,,,On Budget,xxxxxxxxxxxxxxx, ,Projet suspendu pour manque de dotation financiere,11/08/2009,,11/08/2009,,,, ,Region Level,ABIDJAN,ABIDJAN,157290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157290,0,0,0,0
  Alimentation transfrontaliere de 18 localites au Liberia,11200713730,100%,Totally acquired,Electrification de 18 localites au Liberia a partir de la Cote d'Ivoire,- Construction de 3 lignes moyenne tension 33kV de 52km.   - Construction de 3 postes frontieres HTA/BT entre la Cote d&#39;Ivoire et le Liberia.,Closed," - Etat
 - Union Europeenne"," - Commission Europeennne
 - etat"," - Multilateral
 - etat"," - Don projet
 - Ressources Internes",22/12/2007,Closed," - Don financier
 - Etat Contrepartie", ,RAS POUR LA PARTIE IVOIRIENNE. LA PARTIE LIBeRIENNE NON ENCORE DEBUTEE, ,04 - AFFAIRES ECONOMIQUES,043 - Combustibles et energie,200 - INFRASTRUCTURE ET SERVICES eCONOMIQUES,230 - PRODUCTION ET DISTRIBUTION D’ENERGIE,Ministere du Petrole et de l'Energie, ,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Secteurs Strategiques,energie,L'energie est disponible sur toute l'etendue du territoire, , , , , , , , , , , , , ,,,On Budget,764950140, ,"le financement de l'UE est pour la CI et le Liberia. la repartition n’etant pas faite, tout le montant du financement a ete affecte a la CI pour ne pas perdre des informations",22/12/2007,31/12/2014,01/01/2008,,,24/01/2008, ,Region Level," - CAVALLY
 - SAN-PEDRO
 - TONKPI"," - DANANE
 - TABOU
 - TOULEPLEU",11445039.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3772738.152,3815699.999,0,0,0,11445726.23,11402764.38,11445726.23,0,0
  Projet des Aires Protegees (Appui a la relance de la conservation des parcs et reserves de Cote d'Ivoire),cmrx_0063,94%,Totally acquired,Inverser la spirale de degradation de la diversite biologique du PNC par la mise en place d'un systeme de gestion approprie,"Composante 1: Renforcement institutionnel, financier et technique pour la gestion et la surveillance du Parc National de la Comoe;    Composante 2: Planification et mise en œuvre de la gestion pour le Parc National de la Comoe;    Composante 3: Appui aux populations riveraines du Parc;    Composante 4: Gestion du projet et le suivi des resultats.",Ongoing," - Banque Internationale pour la Reconstruction et le Developpement
 - Etat"," - Groupe Banque Mondiale
 - etat"," - Multilateral
 - etat"," - Don projet
 - Ressources Internes",21/07/2009,Ongoing," - Don financier
 - Etat Contrepartie", ,"Insuffisance de la dotation budgetaire de la contrepartie pour couvrir certaines charges de fonctionnement que le bailleur de fonds ne prend pas en charge notamment les infrastructures du parc, surtout les bureaux et les pistes interieures du parc.", ,05 - PROTECTION DE L'ENVIRONNEMENT, ,400 - DESTINATION PLURI-SECTO-RIELLE OU TRANSVERSALE,410 - PROTECTION DE L'ENVIRONNEMENT GENERAL,"Ministere de l’Environnement, de la Salubrite Urbaine et du Developpement Durable", ,RESULTAT4 : LES POPULATIONS VIVENT DANS UN ENVIRONNEMENT SAIN ET UN CADRE DE VIE ADEQUAT,RESULTAT4 : LES POPULATIONS VIVENT DANS UN ENVIRONNEMENT SAIN ET UN CADRE DE VIE ADEQUAT,"Environnement, Eaux et Forets", , , , , , ,OBJECTIF 7 - Assurer un environnement durable,OBJECTIF 7 - Assurer un environnement durable, , , , , , , ,,,On Budget,844 95 02 28, ,"Insuffisance de la dotation budgetaire de la contrepartie pour couvrir certaines charges de fonctionnement que le bailleur de fonds ne prend pas en charge notamment les infrastructures du parc, surtout les bureaux et les pistes interieures du parc.",21/07/2009,30/11/2014,15/01/2010,30/11/2013,,21/07/2009, ,District Level," - BOUKANI
 - TCHOLOGO", ,3712056,0,0,0,0,0,0,0,0,1370880,2047919.999,0,0,0,0,241500,491399.999,0,0,0,0,1804181.484,1073100,0,0,0,3712056,3416561.484,3612420,0,0
